A1A2X0T1XE8K89
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658877487603,1658877492817,1658877494474,1658877495856,1658877497089,1658877500706,1658877504343,1658877507697,1658877510536,1658877513388,1658877516697,1658877518478,1658877521807,1658877525511,1658877527383,1658877528583,1658877529950,1658877533475,1658877536870,1658877540073,1658877543912,1658877545320,1658877547043,1658877548464,1658877551841,1658877554897,1658877557152,1658877558740,1658877560184,1658877563692,1658877565247,1658877566685,1658877569967,1658877571590,1658877573233,1658877574723,1658877576494,1658877578030,1658877582299,1658877585321,1658877586887,1658877588183,1658877589665,1658877592828,1658877594293,1658877598392,1658877599618,1658877601340,1658877602852,1658877604169,1658877605554,1658877607035,1658877611301,1658877612701,1658877614183,1658877615824,1658877617386,1658877618835,1658877620200,1658877621621,1658877625058,1658877626510,1658877628285,1658877629959,1658877633739,1658877635129,1658877639032,1658877640423,1658877641887,1658877643507,1658877644769,1658877646188,1658877647635,1658877648990,1658877653124,1658877654629,1658877656154,1658877657760,1658877661340,1658877665303,1658877666641,1658877668165,1658877669383,1658877670588,1658877671749,1658877675521,1658877677112,1658877678481,1658877679977,1658877681320,1658877682583,1658877684038,1658877685268,1658877686530,1658877690065,1658877691754,1658877694153,1658877695647,1658877697104,1658877700923
4,0,0,46,20,34,44,35,2,49,0,16,38,0,31,1,7,24,11,0,0,0,0,41,17,0,0,0,39,0,0,23,0,0,0,40,0,29,5,0,45,0,22,0,6,9,0,32,50,0,0,12,0,0,0,0,0,30,42,19,0,0,33,10,0,18,0,0,0,43,0,0,26,47,0,0,0,36,8,27,0,48,0,37,3,0,0,0,0,15,0,21,0,14,0,13,0,0,25,28
1658877067183,-1,-1,1658877193552,1658877115299,1658877157433,1658877187536,1658877160448,1658877061171,1658877202570,-1,1658877103265,1658877169473,-1,1658877148404,1658877058168,1658877076200,1658877127339,1658877088237,-1,-1,-1,-1,1658877178503,1658877106276,-1,-1,-1,1658877172481,-1,-1,1658877124324,-1,-1,-1,1658877175495,-1,1658877142389,1658877070196,-1,1658877190549,-1,1658877121322,-1,1658877073197,1658877082227,-1,1658877151411,1658877205572,-1,-1,1658877091241,-1,-1,-1,-1,-1,1658877145401,1658877181508,1658877112293,-1,-1,1658877154424,1658877085228,-1,1658877109286,-1,-1,-1,1658877184524,-1,-1,1658877133362,1658877196554,-1,-1,-1,1658877163464,1658877079213,1658877136366,-1,1658877199564,-1,1658877166466,1658877064179,-1,-1,-1,-1,1658877100253,-1,1658877118310,-1,1658877097251,-1,1658877094242,-1,-1,1658877130352,1658877139380
1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1
SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew
1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0
