SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658442999755,1658443004692,1658443006327,1658443010278,1658443013568,1658443017223,1658443019446,1658443023957,1658443025661,1658443026998,1658443030487,1658443033864,1658443037336,1658443039060,1658443041330,1658443042799,1658443046740,1658443048568,1658443050305,1658443053608,1658443056391,1658443060984,1658443063879,1658443066367,1658443068268,1658443070247,1658443075250,1658443077191,1658443080414,1658443082440,1658443084192,1658443086393,1658443090944,1658443094191,1658443096880,1658443098615,1658443100602,1658443102467,1658443104154,1658443106868,1658443109932,1658443113716,1658443120425,1658443122195,1658443125300,1658443127725,1658443130731,1658443135863,1658443139375,1658443141408,1658443146277,1658443151813,1658443154043,1658443157066,1658443159976,1658443162579,1658443165414,1658443166979,1658443168813,1658443172135,1658443173842,1658443176359,1658443178495,1658443181759,1658443184783,1658443188679,1658443192047,1658443193952,1658443197062,1658443200398,1658443202331,1658443204826,1658443206726,1658443208576,1658443211432,1658443214437,1658443219245,1658443220916,1658443222192,1658443225610,1658443227903,1658443229788,1658443231998,1658443233724,1658443236898,1658443240081,1658443243325,1658443245217,1658443247127,1658443248928,1658443252478,1658443256938,1658443260058,1658443263089,1658443266161,1658443267892,1658443269797,1658443272085,1658443278424,1658443280409
0,3,0,47,43,0,0,0,15,36,0,0,18,0,0,37,0,0,31,0,17,41,0,0,14,42,0,19,0,16,0,20,22,0,0,0,0,6,23,24,4,0,0,34,0,45,25,0,0,30,21,0,13,0,0,0,10,8,50,12,0,0,33,28,48,5,32,35,38,0,0,0,0,46,0,0,0,9,27,0,0,0,0,49,2,1,7,0,0,11,44,29,0,40,0,0,0,26,0,39
-1,1658442853473,-1,1658442985759,1658442973742,-1,-1,-1,1658442889553,1658442952688,-1,-1,1658442898572,-1,-1,1658442955691,-1,-1,1658442937669,-1,1658442895567,1658442967736,-1,-1,1658442886543,1658442970741,-1,1658442901586,-1,1658442892558,-1,1658442904590,1658442910613,-1,-1,-1,-1,1658442862486,1658442913614,1658442916622,1658442856482,-1,-1,1658442946679,-1,1658442979744,1658442919626,-1,-1,1658442934668,1658442907597,-1,1658442883542,-1,-1,-1,1658442874522,1658442868509,1658442994776,1658442880535,-1,-1,1658442943678,1658442928656,1658442988765,1658442859483,1658442940676,1658442949680,1658442958703,-1,-1,-1,-1,1658442982758,-1,-1,-1,1658442871511,1658442925655,-1,-1,-1,-1,1658442991774,1658442850472,1658442847468,1658442865497,-1,-1,1658442877523,1658442976743,1658442931664,-1,1658442964720,-1,-1,-1,1658442922641,-1,1658442961706
0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,1,0,0,0,1,0,1
SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew
0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
23,5,5,35,9,9,9,9,19,36,36,36,38,38,38,46,46,46,26,26,43,33,33,33,24,38,38,36,36,31,31,11,18,18,18,18,18,3,38,40,5,5,5,31,31,20,4,4,4,31,37,37,25,25,25,25,18,21,23,15,15,15,25,34,32,11,4,5,0,0,0,0,0,5,5,5,5,10,13,13,13,13,13,30,45,19,8,8,8,45,15,8,8,8,8,8,8,6,6,38
314.02095238095245,62.87428571428572,62.87428571428572,487.7853968253969,152.25650793650794,152.25650793650794,152.25650793650794,152.25650793650794,234.63873015873017,479.7853968253969,479.7853968253969,479.7853968253969,471.7853968253969,471.7853968253969,471.7853968253969,574.1676190476192,574.1676190476192,574.1676190476192,310.02095238095245,310.02095238095245,555.1676190476192,395.40317460317465,395.40317460317465,395.40317460317465,330.02095238095245,471.7853968253969,471.7853968253969,479.7853968253969,479.7853968253969,399.40317460317465,399.40317460317465,142.25650793650794,246.63873015873017,246.63873015873017,246.63873015873017,246.63873015873017,246.63873015873017,76.87428571428572,471.7853968253969,485.7853968253969,62.87428571428572,62.87428571428572,62.87428571428572,399.40317460317465,399.40317460317465,234.63873015873017,72.87428571428572,72.87428571428572,72.87428571428572,399.40317460317465,473.7853968253969,473.7853968253969,315.02095238095245,315.02095238095245,315.02095238095245,315.02095238095245,246.63873015873017,316.02095238095245,314.02095238095245,237.63873015873017,237.63873015873017,237.63873015873017,315.02095238095245,398.40317460317465,408.40317460317465,142.25650793650794,72.87428571428572,62.87428571428572,76.87428571428572,76.87428571428572,76.87428571428572,76.87428571428572,76.87428571428572,62.87428571428572,62.87428571428572,62.87428571428572,62.87428571428572,144.25650793650794,150.25650793650794,150.25650793650794,150.25650793650794,150.25650793650794,150.25650793650794,391.40317460317465,559.1676190476192,234.63873015873017,165.25650793650794,165.25650793650794,165.25650793650794,559.1676190476192,237.63873015873017,165.25650793650794,165.25650793650794,165.25650793650794,165.25650793650794,165.25650793650794,165.25650793650794,75.87428571428572,75.87428571428572,471.7853968253969
