""
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869935504,1658869942568,1658869946536,1658869951200,1658869953901,1658869957346,1658869961753,1658869967339,1658869972086,1658869976884,1658869979106,1658869981817,1658869984498,1658869986675,1658869988943,1658869992168,1658869997588,1658870000368,1658870004552,1658870007540,1658870009364,1658870014308,1658870018668,1658870024020,1658870026939,1658870030492,1658870034927,1658870039696,1658870043933,1658870046736,1658870048868,1658870054220,1658870058521,1658870061456,1658870066184,1658870070420,1658870074352,1658870076980,1658870079358,1658870082298,1658870086056,1658870088787,1658870092908,1658870097880,1658870100896,1658870103777,1658870108874,1658870111427,1658870115432,1658870117783,1658870125579,1658870130471,1658870134237,1658870136835,1658870141326,1658870146375,1658870149384,1658870156075,1658870159004,1658870164505,1658870169244,1658870174599,1658870177478,1658870179309,1658870183119,1658870185198,1658870187639,1658870191690,1658870194102,1658870197950,1658870204179,1658870207381,1658870211599,1658870214782,1658870223715,1658870229831,1658870233211,1658870236898,1658870242293,1658870245713,1658870250293,1658870254483,1658870260088,1658870263323,1658870267677,1658870273263,1658870277166,1658870280433,1658870285079,1658870289148,1658870293125,1658870295686,1658870298633,1658870302658,1658870308075,1658870312166,1658870314866,1658870320561,1658870324496,1658870326901
0,0,45,0,0,16,27,24,44,0,0,0,0,36,0,13,0,18,0,0,26,39,0,22,0,0,34,30,0,33,1,10,0,23,32,8,0,0,0,0,0,38,12,0,0,20,47,46,9,0,31,0,0,3,0,0,11,0,48,14,0,0,19,0,6,0,41,4,29,49,17,35,0,25,0,0,7,40,0,0,0,0,50,42,15,5,0,0,37,0,0,0,43,0,21,2,0,0,0,28
-1,-1,1658869901634,-1,-1,1658869814263,1658869847412,1658869838363,1658869898624,-1,-1,-1,-1,1658869874528,-1,1658869805242,-1,1658869820293,-1,-1,1658869844392,1658869883578,-1,1658869832332,-1,-1,1658869868498,1658869856434,-1,1658869865477,1658869769108,1658869796213,-1,1658869835352,1658869862457,1658869790200,-1,-1,-1,-1,-1,1658869880557,1658869802238,-1,-1,1658869826311,1658869907658,1658869904640,1658869793205,-1,1658869859437,-1,-1,1658869775125,-1,-1,1658869799228,-1,1658869910677,1658869808252,-1,-1,1658869823308,-1,1658869784169,-1,1658869889596,1658869778133,1658869853425,1658869913687,1658869817272,1658869871517,-1,1658869841384,-1,-1,1658869787179,1658869886588,-1,-1,-1,-1,1658869916697,1658869892606,1658869811261,1658869781148,-1,-1,1658869877548,-1,-1,-1,1658869895607,-1,1658869829312,1658869772122,-1,-1,-1,1658869850422
0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1
SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld
0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1
