XC,YC,,
262.15625,703.015625,2.6215625,7.03015625
909.15625,215.015625,9.0915625,
289.15625,259.015625,2.8915625,
1063.15625,133.015625,10.6315625,
760.15625,714.015625,7.6015625,
652.15625,550.015625,6.5215625,
800.15625,685.015625,8.0015625,
283.15625,860.015625,2.8315625,
594.15625,874.015625,5.9415625,
783.15625,842.015625,7.8315625,
434.15625,419.015625,4.3415625,
590.15625,701.015625,5.9015625,
463.15625,274.015625,4.6315625,
889.15625,740.015625,,
436.15625,402.015625,,
472.15625,889.015625,,
449.15625,706.015625,,
905.15625,251.015625,,
618.15625,869.015625,,
282.15625,563.015625,,
750.15625,546.015625,,
734.15625,738.015625,,
477.15625,446.015625,,
891.15625,859.015625,,
297.15625,263.015625,,
774.15625,239.015625,,
578.15625,567.015625,,
439.15625,383.015625,,
380.15625,229.015625,,
107.15625,854.015625,,
295.15625,836.015625,,
395.15625,700.015625,,
1061.15625,430.015625,,
770.15625,557.015625,,
1064.15625,556.015625,,
910.15625,833.015625,,
617.15625,701.015625,,
610.15625,686.015625,,
452.15625,414.015625,,
605.15625,403.015625,,
427.15625,220.015625,,
458.15625,728.015625,,
742.15625,734.71875,,
535.15625,758.71875,,
117.15625,718.71875,,
115.15625,318.71875,,
739.15625,206.71875,,
722.15625,189.71875,,
662.15625,78.71875,,
337.15625,757.71875,,
407.15625,727.71875,,
607.15625,496.71875,,
615.15625,498.71875,,
563.15625,624.71875,,
104.15625,436.71875,,
666.15625,307.71875,,
222.15625,299.71875,,
515.15625,218.71875,,
231.15625,167.71875,,
119.15625,632.71875,,
616.15625,504.71875,,
756.15625,412.71875,,
639.15625,501.71875,,
547.15625,517.71875,,
194.15625,743.71875,,
524.15625,409.71875,,
103.15625,307.71875,,
762.15625,199.71875,,
650.15625,181.71875,,
653.15625,597.71875,,
310.15625,603.71875,,
612.15625,185.71875,,
215.15625,292.71875,,
649.15625,201.71875,,
755.15625,186.71875,,
444.15625,84.71875,,
743.15625,727.71875,,
306.15625,730.71875,,
538.15625,750.71875,,
538.15625,309.71875,,
652.15625,185.71875,,
561.15625,75.71875,,
212.15625,184.71875,,
673.15625,301.71875,,
743.15625,722.71875,,
615.15625,397.71875,,
197.15625,525.71875,,
541.15625,616.71875,,
187.15625,733.71875,,
634.15625,517.71875,,
511.7999878,445.9000015,,
79.79998779,156.9000015,,
237.7999878,524.9000015,,
340.7999878,597.9000015,,
429.7999878,410.9000015,,
363.7999878,517.9000015,,
458.7999878,59.90000153,,
448.7999878,422.9000015,,
621.7999878,417.9000015,,
340.7999878,599.9000015,,
355.7999878,497.9000015,,
237.7999878,501.9000015,,
366.7999878,512.9000015,,
428.7999878,65.90000153,,
267.7999878,60.90000153,,
264.7999878,399.9000015,,
364.7999878,429.9000015,,
331.7999878,57.90000153,,
528.7999878,443.9000015,,
522.7999878,64.90000153,,
439.7999878,301.9000015,,
443.7999878,421.9000015,,
421.7999878,398.9000015,,
324.7999878,510.9000015,,
364.7999878,609.9000015,,
240.7999878,69.90000153,,
160.7999878,527.9000015,,
515.7999878,511.9000015,,
617.7999878,509.9000015,,
440.7999878,614.9000015,,
522.7999878,597.9000015,,
532.7999878,589.9000015,,
596.7999878,508.9000015,,
522.7999878,69.90000153,,
448.7999878,249.9000015,,
464.7999878,59.90000153,,
441.7999878,517.9000015,,
342.7999878,246.9000015,,
237.7999878,529.9000015,,
596.7999878,518.9000015,,
237.7999878,528.9000015,,
136.7999878,343.9000015,,
442.7999878,605.9000015,,
516.7999878,319.9000015,,
164.7999878,135.9000015,,
163.7999878,234.9000015,,
350.7999878,217.9000015,,
519.7999878,441.9000015,,
496.7999878,421.9000015,,
248.7999878,582.9000015,,
246.7999878,421.9000015,,
499.7999878,2.900001526,,
207.6499939,168.1833344,,
53.6499939,243.1833344,,
222.6499939,23.18333435,,
420.6499939,262.1833344,,
278.6499939,252.1833344,,
174.6499939,217.1833344,,
424.6499939,106.1833344,,
422.6499939,121.1833344,,
284.6499939,265.1833344,,
431.6499939,396.1833344,,
361.6499939,259.1833344,,
519.6499939,132.1833344,,
353.6499939,147.1833344,,
374.6499939,306.1833344,,
390.6499939,404.1833344,,
493.6499939,199.1833344,,
409.6499939,461.1833344,,
527.6499939,191.1833344,,
357.6499939,267.1833344,,
342.6499939,367.1833344,,
177.6499939,186.1833344,,
422.6499939,307.1833344,,
361.6499939,410.1833344,,
346.6499939,317.1833344,,
335.6499939,335.1833344,,
399.6499939,273.1833344,,
117.6499939,337.1833344,,
352.6499939,39.18333435,,
130.6499939,156.1833344,,
388.6499939,150.1833344,,
487.6499939,146.1833344,,
440.6499939,331.1833344,,
510.6499939,269.1833344,,
398.6499939,400.1833344,,
495.6499939,207.1833344,,
137.6499939,182.1833344,,
237.6499939,253.1833344,,
137.6499939,301.1833344,,
196.6499939,368.1833344,,
193.6499939,330.1833344,,
372.6499939,43.18333435,,
500.6499939,343.1833344,,
342.6499939,250.1833344,,
245.578125,413.71875,,
547.578125,434.71875,,
317.578125,205.71875,,
205.578125,737.71875,,
551.578125,612.71875,,
650.578125,620.71875,,
785.578125,498.71875,,
445.578125,723.71875,,
537.578125,735.71875,,
670.578125,742.71875,,
664.578125,409.71875,,
433.578125,509.71875,,
632.578125,162.71875,,
766.578125,367.71875,,
682.578125,740.71875,,
777.578125,631.71875,,
181.578125,285.71875,,
522.578125,289.71875,,
293.578125,721.71875,,
517.578125,637.71875,,
453.578125,401.71875,,
96.578125,162.71875,,
524.578125,594.71875,,
224.578125,629.71875,,
84.578125,76.71875,,
228.578125,304.71875,,
560.578125,205.71875,,
749.578125,515.71875,,
567.578125,728.71875,,
659.578125,606.71875,,
746.578125,394.71875,,
759.578125,756.71875,,
636.578125,507.71875,,
333.578125,748.71875,,
638.578125,380.71875,,
111.578125,505.71875,,
436.578125,150.71875,,
214.578125,390.71875,,
778.578125,83.71875,,
404.578125,624.71875,,
556.578125,383.71875,,
764.578125,723.71875,,
538.578125,502.71875,,
661.578125,479.71875,,
638.578125,403.71875,,
112.578125,292.71875,,
13.625,780.875,,
921.625,98.875,,
895.625,847.875,,
437.625,235.875,,
306.625,1003.875,,
736.625,1005.875,,
255.625,577.875,,
310.625,869.875,,
420.625,93.875,,
571.625,871.875,,
174.625,406.875,,
929.625,1042.875,,
589.625,262.875,,
429.625,843.875,,
1070.625,431.875,,
462.625,429.875,,
922.625,372.875,,
268.625,382.875,,
781.625,245.875,,
766.625,277.875,,
462.625,451.875,,
428.625,120.875,,
297.625,538.875,,
602.625,717.875,,
608.625,758.875,,
121.625,245.875,,
298.625,261.875,,
753.625,523.875,,
774.625,847.875,,
276.625,116.875,,
778.625,1021.875,,
891.625,270.875,,
410.625,415.875,,
298.625,287.875,,
603.625,558.875,,
596.625,93.875,,
725.625,968.875,,
599.625,707.875,,
431.625,571.875,,
567.625,446.875,,
109.625,87.875,,
1062.625,582.875,,
925.625,92.875,,
441.625,816.875,,
456.625,228.875,,
611.625,570.875,,
685.640625,354.71875,,
171.640625,162.71875,,
395.640625,634.71875,,
682.640625,642.71875,,
281.640625,250.71875,,
544.640625,547.71875,,
552.640625,356.71875,,
280.640625,274.71875,,
470.640625,647.71875,,
189.640625,353.71875,,
475.640625,512.71875,,
666.640625,69.71875,,
385.640625,353.71875,,
295.640625,248.71875,,
101.640625,84.71875,,
279.640625,448.71875,,
298.640625,274.71875,,
295.640625,366.71875,,
476.640625,361.71875,,
581.640625,282.71875,,
195.640625,239.71875,,
460.640625,170.71875,,
494.640625,371.71875,,
548.640625,154.71875,,
170.640625,362.71875,,
561.640625,176.71875,,
382.640625,181.71875,,
367.640625,159.71875,,
380.640625,375.71875,,
373.640625,532.71875,,
495.640625,431.71875,,
683.640625,350.71875,,
504.640625,256.71875,,
463.640625,270.71875,,
470.640625,275.71875,,
568.640625,363.71875,,
577.640625,245.71875,,
198.640625,349.71875,,
582.640625,382.71875,,
400.640625,182.71875,,
582.640625,283.71875,,
311.640625,175.71875,,
182.640625,374.71875,,
549.640625,175.71875,,
229.15625,172.71875,,
242.15625,634.71875,,
106.15625,527.71875,,
813.15625,407.71875,,
100.15625,96.71875,,
613.15625,424.71875,,
239.15625,201.71875,,
426.15625,149.71875,,
282.15625,643.71875,,
538.15625,309.71875,,
428.15625,418.71875,,
769.15625,211.71875,,
757.15625,516.71875,,
746.15625,749.71875,,
241.15625,724.71875,,
337.15625,184.71875,,
323.15625,320.71875,,
304.15625,404.71875,,
651.15625,582.71875,,
727.15625,409.71875,,
667.15625,535.71875,,
204.15625,605.71875,,
533.15625,715.71875,,
641.15625,626.71875,,
729.15625,633.71875,,
431.15625,307.71875,,
641.15625,175.71875,,
777.15625,424.71875,,
432.15625,636.71875,,
661.15625,520.71875,,
99.15625,517.71875,,
552.15625,411.71875,,
297.15625,537.71875,,
802.15625,728.71875,,
651.15625,103.71875,,
518.15625,291.71875,,
329.15625,179.71875,,
281.15625,417.71875,,
423.15625,730.71875,,
335.15625,303.71875,,
332.15625,709.71875,,
552.15625,429.71875,,
452.15625,72.71875,,
422.15625,626.71875,,
670.15625,167.71875,,
550.15625,203.71875,,
543.15625,535.71875,,
777.15625,69.71875,,
705,436.90625,,
404,630.90625,,
805,203.90625,,
680,648.90625,,
695,187.90625,,
336,302.90625,,
788,304.90625,,
571,640.90625,,
677,300.90625,,
821,217.90625,,
679,153.90625,,
348,299.90625,,
226,644.90625,,
708,427.90625,,
225,281.90625,,
347,534.90625,,
802,635.90625,,
237,408.90625,,
453,308.90625,,
63,312.90625,,
683,552.90625,,
307,543.90625,,
89,778.90625,,
238,183.90625,,
357,444.90625,,
535,419.90625,,
550,309.90625,,
443,194.90625,,
221,539.90625,,
573,308.90625,,
242,647.90625,,
682,306.90625,,
214,544.90625,,
457,569.90625,,
783,209.90625,,
478,553.90625,,
86,643.90625,,
240,403.90625,,
439,416.90625,,
799,546.90625,,
228,647.90625,,
803,63.90625,,
814,338.90625,,
559,420.90625,,
582,192.90625,,
97,663.90625,,
464.15625,226.40625,,
315.15625,535.40625,,
207.15625,225.40625,,
135.15625,51.40625,,
404.15625,99.40625,,
423.15625,336.40625,,
293.15625,507.40625,,
109.15625,534.40625,,
300.15625,651.40625,,
119.15625,753.40625,,
238.15625,598.40625,,
327.15625,306.40625,,
185.15625,405.40625,,
565.15625,533.40625,,
232.15625,542.40625,,
434.15625,522.40625,,
588.15625,511.40625,,
172.15625,184.40625,,
548.15625,93.40625,,
582.15625,641.40625,,
207.15625,423.40625,,
701.15625,525.40625,,
689.15625,444.40625,,
444.15625,624.40625,,
70.15625,423.40625,,
599.15625,72.40625,,
583.15625,61.40625,,
424.15625,544.40625,,
532.15625,771.40625,,
658.15625,534.40625,,
345.15625,833.40625,,
427.15625,676.40625,,
439.15625,189.40625,,
299.15625,450.40625,,
676.15625,93.40625,,
233.15625,532.40625,,
203.15625,438.40625,,
280.15625,185.40625,,
446.15625,633.40625,,
231.15625,274.40625,,
311.15625,112.40625,,
397.15625,450.40625,,
662.6875,601.046875,,
429.6875,207.046875,,
562.6875,177.046875,,
538.6875,708.046875,,
739.6875,179.046875,,
109.6875,182.046875,,
190.6875,608.046875,,
423.6875,373.046875,,
632.6875,175.046875,,
91.6875,310.046875,,
739.6875,192.046875,,
204.6875,88.046875,,
96.6875,190.046875,,
218.6875,640.046875,,
279.6875,629.046875,,
208.6875,627.046875,,
