A016079037TD5GXCNYBPH
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869555164,1658869588518,1658869592312,1658869597049,1658869599291,1658869602513,1658869604537,1658869607549,1658869611297,1658869614565,1658869618041,1658869619908,1658869622215,1658869625818,1658869629460,1658869632492,1658869634581,1658869636872,1658869639341,1658869642930,1658869644924,1658869648302,1658869650462,1658869654098,1658869656252,1658869658395,1658869661796,1658869664709,1658869666542,1658869669729,1658869671645,1658869673623,1658869676610,1658869680265,1658869682203,1658869685394,1658869687193,1658869689402,1658869691347,1658869694843,1658869697231,1658869700469,1658869703981,1658869707610,1658869711743,1658869715501,1658869717593,1658869719875,1658869723800,1658869727423,1658869729517,1658869733768,1658869736782,1658869738755,1658869741101,1658869744885,1658869747211,1658869749141,1658869751084,1658869755365,1658869757636,1658869760602,1658869762543,1658869764831,1658869766769,1658869770406,1658869772517,1658869774447,1658869776154,1658869779726,1658869783198,1658869788725,1658869791922,1658869795412,1658869797463,1658869799808,1658869801669,1658869804785,1658869806972,1658869809135,1658869811200,1658869813123,1658869815269,1658869818930,1658869822281,1658869825259,1658869828673,1658869832002,1658869833991,1658869837225,1658869840413,1658869842430,1658869845425,1658869847214,1658869849282,1658869852796,1658869860356,1658869865847,1658869868834,1658869870769
17,10,26,0,31,0,38,14,47,25,1,0,42,46,11,0,0,21,45,0,3,0,9,0,0,15,16,0,34,0,0,37,48,0,4,0,0,0,18,0,23,28,50,0,0,0,0,20,2,0,0,6,0,39,24,0,22,0,12,40,27,0,0,0,0,0,0,0,30,0,0,49,43,0,0,44,41,0,0,0,0,0,5,36,19,32,13,0,8,0,0,33,29,0,35,0,0,7,0,0
1658869449804,1658869428715,1658869476907,-1,1658869491959,-1,1658869512998,1658869440768,1658869540104,1658869473896,1658869401641,-1,1658869525038,1658869537088,1658869431730,-1,-1,1658869461847,1658869534074,-1,1658869407655,-1,1658869425706,-1,-1,1658869443782,1658869446791,-1,1658869500978,-1,-1,1658869509996,1658869543116,-1,1658869410658,-1,-1,-1,1658869452817,-1,1658869467873,1658869482931,1658869549145,-1,-1,-1,-1,1658869458838,1658869404646,-1,-1,1658869416677,-1,1658869516012,1658869470882,-1,1658869464857,-1,1658869434746,1658869519024,1658869479915,-1,-1,-1,-1,-1,-1,-1,1658869488952,-1,-1,1658869546129,1658869528054,-1,-1,1658869531065,1658869522035,-1,-1,-1,-1,-1,1658869413670,1658869506993,1658869455830,1658869494961,1658869437756,-1,1658869422699,-1,-1,1658869497972,1658869485942,-1,1658869503985,-1,-1,1658869419690,-1,-1
1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0
SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1
