A11F3MA5FWH6SJ
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869791430,1658869793916,1658869797830,1658869802500,1658869804613,1658869806015,1658869808800,1658869812379,1658869815419,1658869817074,1658869820150,1658869821900,1658869824921,1658869826723,1658869828387,1658869831382,1658869834409,1658869837406,1658869838898,1658869842151,1658869844083,1658869845406,1658869848392,1658869850934,1658869853663,1658869855393,1658869856634,1658869859546,1658869861106,1658869863991,1658869865803,1658869869533,1658869872460,1658869875518,1658869877125,1658869878361,1658869882214,1658869884461,1658869885947,1658869887467,1658869890319,1658869893870,1658869896958,1658869899606,1658869902403,1658869903968,1658869906718,1658869909550,1658869915023,1658869916552,1658869920231,1658869921751,1658869923026,1658869924211,1658869930153,1658869932761,1658869936492,1658869939553,1658869942918,1658869945903,1658869948859,1658869950499,1658869953982,1658869956584,1658869959711,1658869965206,1658869968215,1658869971306,1658869972796,1658869976207,1658869977574,1658869978939,1658869980351,1658869983443,1658869986538,1658869989705,1658869993223,1658869996270,1658869998951,1658870000433,1658870001697,1658870003355,1658870008049,1658870011012,1658870012475,1658870013779,1658870015076,1658870016526,1658870017700,1658870019115,1658870020740,1658870023968,1658870025560,1658870026841,1658870028252,1658870031846,1658870033671,1658870035068,1658870038455,1658870040362
0,42,1,0,0,0,25,28,0,34,0,0,0,0,46,38,4,0,0,0,0,10,24,50,0,0,0,0,43,15,14,35,9,0,0,29,39,0,0,27,37,0,12,41,0,48,30,0,0,17,0,0,0,5,0,16,22,21,8,45,19,0,0,31,20,40,13,0,0,0,6,0,36,11,3,33,18,26,0,0,0,47,0,0,0,0,0,0,0,0,32,49,23,0,7,0,0,44,0,2
-1,1658869761493,1658869638174,-1,-1,-1,1658869710374,1658869719394,-1,1658869737440,-1,-1,-1,-1,1658869773525,1658869749467,1658869647197,-1,-1,-1,-1,1658869665222,1658869707358,1658869785569,-1,-1,-1,-1,1658869764497,1658869680269,1658869677261,1658869740443,1658869662221,-1,-1,1658869722396,1658869752475,-1,-1,1658869716381,1658869746464,-1,1658869671240,1658869758481,-1,1658869779545,1658869725408,-1,-1,1658869686285,-1,-1,-1,1658869650199,-1,1658869683283,1658869701344,1658869698329,1658869659211,1658869770513,1658869692313,-1,-1,1658869728415,1658869695326,1658869755477,1658869674249,-1,-1,-1,1658869653201,-1,1658869743448,1658869668229,1658869644190,1658869734434,1658869689300,1658869713376,-1,-1,-1,1658869776530,-1,-1,-1,-1,-1,-1,-1,-1,1658869731420,1658869782553,1658869704348,-1,1658869656208,-1,-1,1658869767500,-1,1658869641176
0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1
SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew
1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0
