A18G2CLYSTENK
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658873010224,1658873013344,1658873019290,1658873021039,1658873025619,1658873029172,1658873032129,1658873035542,1658873039506,1658873043657,1658873047570,1658873050972,1658873054391,1658873057792,1658873060731,1658873063826,1658873065778,1658873067440,1658873069000,1658873070556,1658873074022,1658873078261,1658873080159,1658873081681,1658873083572,1658873085375,1658873088659,1658873090403,1658873091982,1658873093595,1658873095109,1658873098662,1658873100359,1658873101767,1658873103221,1658873104620,1658873107632,1658873109689,1658873111261,1658873112922,1658873114523,1658873116039,1658873119476,1658873121173,1658873124271,1658873128293,1658873129831,1658873131238,1658873133150,1658873134787,1658873137819,1658873139286,1658873140864,1658873142516,1658873145804,1658873148591,1658873151698,1658873153122,1658873154586,1658873157636,1658873160408,1658873161985,1658873163541,1658873165073,1658873166524,1658873167912,1658873169641,1658873172618,1658873175895,1658873179646,1658873183972,1658873185585,1658873186962,1658873190546,1658873193859,1658873195492,1658873198832,1658873201050,1658873202540,1658873206066,1658873207664,1658873209347,1658873212651,1658873214352,1658873217846,1658873220897,1658873223118,1658873224462,1658873225790,1658873227388,1658873230551,1658873232379,1658873233922,1658873237185,1658873239983,1658873242966,1658873244384,1658873245820,1658873247286,1658873248644
21,0,0,6,20,7,0,0,49,0,25,42,17,37,24,40,0,0,14,38,33,0,29,0,0,5,0,0,0,0,9,0,0,0,0,26,0,28,0,0,0,44,0,2,0,10,0,45,0,39,0,0,0,34,11,3,43,0,30,22,0,0,0,4,35,0,47,36,32,0,0,23,1,31,0,50,27,8,46,0,0,13,0,0,15,0,0,0,0,19,0,0,16,18,48,41,0,0,0,12
1658872916956,-1,-1,1658872871867,1658872913946,1658872874868,-1,-1,1658873001181,-1,1658872928977,1658872980115,1658872904939,1658872965067,1658872925971,1658872974089,-1,-1,1658872895922,1658872968068,1658872953024,-1,1658872941011,-1,-1,1658872868865,-1,-1,-1,-1,1658872880882,-1,-1,-1,-1,1658872931981,-1,1658872938010,-1,-1,-1,1658872986140,-1,1658872859851,-1,1658872883882,-1,1658872989143,-1,1658872971075,-1,-1,-1,1658872956026,1658872886884,1658872862853,1658872983128,-1,1658872944012,1658872919960,-1,-1,-1,1658872865856,1658872959042,-1,1658872995162,1658872962052,1658872950022,-1,-1,1658872922964,1658872856851,1658872947022,-1,1658873004197,1658872934994,1658872877881,1658872992154,-1,-1,1658872892907,-1,-1,1658872898923,-1,-1,-1,-1,1658872910944,-1,-1,1658872901926,1658872907943,1658872998172,1658872977101,-1,-1,-1,1658872889893
1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1
SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew
0,0,1,1,1,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
