A195MOXRMNHRVT
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658873594394,1658873599196,1658873604273,1658873608866,1658873614924,1658873620618,1658873622474,1658873623964,1658873628034,1658873629674,1658873633885,1658873637809,1658873642676,1658873644524,1658873646014,1658873648134,1658873649754,1658873651234,1658873656439,1658873661127,1658873664046,1658873665554,1658873667054,1658873671723,1658873676203,1658873677874,1658873679363,1658873683803,1658873685862,1658873691702,1658873696107,1658873700249,1658873706535,1658873710823,1658873712638,1658873714211,1658873719165,1658873723815,1658873727740,1658873732139,1658873735967,1658873737507,1658873741163,1658873742901,1658873744487,1658873745997,1658873747567,1658873749017,1658873753131,1658873757836,1658873759326,1658873763228,1658873764897,1658873766537,1658873770402,1658873771354,1658873775537,1658873777127,1658873778627,1658873780856,1658873782427,1658873783846,1658873785397,1658873789272,1658873793540,1658873797436,1658873801240,1658873803189,1658873805078,1658873806538,1658873808038,1658873811873,1658873816398,1658873818028,1658873822018,1658873826352,1658873830358,1658873832048,1658873833929,1658873835698,1658873837257,1658873838998,1658873842738,1658873844408,1658873848360,1658873850018,1658873851628,1658873853218,1658873857761,1658873859568,1658873863912,1658873867507,1658873869177,1658873873157,1658873874647,1658873876736,1658873878427,1658873882721,1658873884327,1658873889003
4,26,25,0,5,0,0,11,0,10,47,44,0,0,0,0,0,37,28,0,0,0,50,39,0,0,48,0,16,32,21,42,14,0,0,22,36,18,3,27,0,41,9,0,0,0,0,13,38,0,20,0,0,0,34,15,0,0,0,0,0,0,1,17,46,19,0,0,0,0,49,2,0,43,29,45,0,0,0,0,0,31,0,8,0,0,0,12,0,35,33,0,23,0,7,40,30,0,24,6
1658873450734,1658873517036,1658873514027,-1,1658873453736,-1,-1,1658873471797,-1,1658873468776,1658873580266,1658873571237,-1,-1,-1,-1,-1,1658873550186,1658873523056,-1,-1,-1,1658873589316,1658873556201,-1,-1,1658873583286,-1,1658873486886,1658873535126,1658873501976,1658873565226,1658873480856,-1,-1,1658873504982,1658873547176,1658873492916,1658873447717,1658873520042,-1,1658873562222,1658873465766,-1,-1,-1,-1,1658873477836,1658873553196,-1,1658873498956,-1,-1,-1,1658873541155,1658873483877,-1,-1,-1,-1,-1,-1,1658873441695,1658873489895,1658873577246,1658873495936,-1,-1,-1,-1,1658873586296,1658873444707,-1,1658873568232,1658873526076,1658873574243,-1,-1,-1,-1,-1,1658873532107,-1,1658873462761,-1,-1,-1,1658873474816,-1,1658873544156,1658873538136,-1,1658873507996,-1,1658873459756,1658873559206,1658873529097,-1,1658873511016,1658873456742
1,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,1,1
SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
