A198MSVO1VTAT5
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869180795,1658869190007,1658869193768,1658869196603,1658869201891,1658869204466,1658869206657,1658869208857,1658869210688,1658869212601,1658869216928,1658869220269,1658869221924,1658869228855,1658869233490,1658869238904,1658869241314,1658869242939,1658869245534,1658869247544,1658869251182,1658869253017,1658869255334,1658869259135,1658869260857,1658869262573,1658869265939,1658869269907,1658869271903,1658869273437,1658869277732,1658869281475,1658869284442,1658869287607,1658869289478,1658869291189,1658869293197,1658869295157,1658869296879,1658869298526,1658869300113,1658869301757,1658869303328,1658869306915,1658869309835,1658869313103,1658869315000,1658869316435,1658869319884,1658869323590,1658869326794,1658869329670,1658869331570,1658869332970,1658869334723,1658869336466,1658869337935,1658869341269,1658869343075,1658869346010,1658869347659,1658869349273,1658869350957,1658869353897,1658869358043,1658869359834,1658869362662,1658869364608,1658869367730,1658869369447,1658869372349,1658869374217,1658869376549,1658869378170,1658869379771,1658869382646,1658869385415,1658869389367,1658869392490,1658869395501,1658869397357,1658869399979,1658869401857,1658869403231,1658869404675,1658869407593,1658869409487,1658869410787,1658869413767,1658869415530,1658869416908,1658869418560,1658869420605,1658869424227,1658869426591,1658869427999,1658869431032,1658869433217,1658869435116,1658869437885
3,0,0,41,15,0,0,0,0,0,0,48,0,0,35,0,0,26,0,47,0,0,44,0,0,19,29,0,0,31,11,39,27,17,0,0,0,0,0,0,0,0,50,6,34,0,0,45,22,43,2,0,36,0,0,0,18,0,38,0,0,0,37,13,0,49,0,40,0,28,0,10,5,0,8,1,24,25,7,30,9,0,0,21,14,0,16,12,0,42,4,23,20,0,0,46,0,32,33,0
1658869033190,-1,-1,1658869147519,1658869069308,-1,-1,-1,-1,-1,-1,1658869168589,-1,-1,1658869129449,-1,-1,1658869102373,-1,1658869165578,-1,-1,1658869156550,-1,-1,1658869081336,1658869111404,-1,-1,1658869117414,1658869057280,1658869141490,1658869105378,1658869075320,-1,-1,-1,-1,-1,-1,-1,-1,1658869174608,1658869042212,1658869126433,-1,-1,1658869159562,1658869090354,1658869153546,1658869030189,-1,1658869132462,-1,-1,-1,1658869078330,-1,1658869138480,-1,-1,-1,1658869135466,1658869063288,-1,1658869171597,-1,1658869144503,-1,1658869108391,-1,1658869054272,1658869039206,-1,1658869048242,1658869027186,1658869096362,1658869099371,1658869045228,1658869114407,1658869051259,-1,-1,1658869087341,1658869066298,-1,1658869072308,1658869060282,-1,1658869150535,1658869036199,1658869093359,1658869084339,-1,-1,1658869162571,-1,1658869120416,1658869123418,-1
1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0,1,0,1,1,0
SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew
1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1
