A1B76WYZ47BQJ
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658880090496,1658880096923,1658880099781,1658880106275,1658880109132,1658880114255,1658880117981,1658880122170,1658880127723,1658880131045,1658880132870,1658880135248,1658880137755,1658880142087,1658880146572,1658880150438,1658880154796,1658880157511,1658880163110,1658880167160,1658880170764,1658880173736,1658880177891,1658880182622,1658880186431,1658880189223,1658880193274,1658880196208,1658880198192,1658880202062,1658880205592,1658880208140,1658880210701,1658880212554,1658880213938,1658880215647,1658880217176,1658880219233,1658880220750,1658880222576,1658880223991,1658880226572,1658880228064,1658880231952,1658880236212,1658880239896,1658880242692,1658880244534,1658880245991,1658880249203,1658880253131,1658880256943,1658880260911,1658880265372,1658880269649,1658880273342,1658880276808,1658880280289,1658880283689,1658880286459,1658880288174,1658880292282,1658880296353,1658880300025,1658880303949,1658880307585,1658880311118,1658880315546,1658880317745,1658880319144,1658880323399,1658880326390,1658880328164,1658880332380,1658880336043,1658880339556,1658880342105,1658880346451,1658880349977,1658880353652,1658880357644,1658880359269,1658880363519,1658880367222,1658880370990,1658880374367,1658880379127,1658880384853,1658880388756,1658880391460,1658880393623,1658880398238,1658880400764,1658880402249,1658880406130,1658880408463,1658880410414,1658880414562,1658880419651,1658880421852
21,0,0,0,34,0,0,9,0,18,0,0,0,29,0,0,0,32,33,14,4,0,37,0,1,0,0,7,36,0,0,0,0,6,0,0,0,20,0,39,30,0,15,19,3,47,0,0,0,27,44,0,46,0,23,0,17,35,16,0,0,0,0,31,0,0,0,0,0,48,45,0,0,50,41,0,24,13,11,0,2,26,10,42,49,38,5,12,22,0,40,0,28,0,0,0,8,0,25,43
1658879986065,-1,-1,-1,1658880025162,-1,-1,1658879949962,-1,1658879977049,-1,-1,-1,1658880010116,-1,-1,-1,1658880019133,1658880022146,1658879965018,1658879934917,-1,1658880034189,-1,1658879925884,-1,-1,1658879943945,1658880031178,-1,-1,-1,-1,1658879940933,-1,-1,-1,1658879983057,-1,1658880040215,1658880013120,-1,1658879968026,1658879980056,1658879931903,1658880064284,-1,-1,-1,1658880004102,1658880055260,-1,1658880061280,-1,1658879992069,-1,1658879974044,1658880028177,1658879971028,-1,-1,-1,-1,1658880016132,-1,-1,-1,-1,-1,1658880067289,1658880058264,-1,-1,1658880073295,1658880046244,-1,1658879995075,1658879962006,1658879955987,-1,1658879928887,1658880001097,1658879952973,1658880049248,1658880070290,1658880037205,1658879937928,1658879959002,1658879989066,-1,1658880043228,-1,1658880007104,-1,-1,-1,1658879946951,-1,1658879998088,1658880052256
1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1
SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld
1,1,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1
