A1DC5O5XEIMM1M
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869582671,1658869587951,1658869592196,1658869595673,1658869598437,1658869602570,1658869605189,1658869607844,1658869611761,1658869615228,1658869617560,1658869620475,1658869623385,1658869629241,1658869631727,1658869634834,1658869637093,1658869639637,1658869642112,1658869645708,1658869648650,1658869651730,1658869655404,1658869658804,1658869663378,1658869666786,1658869669202,1658869672388,1658869675469,1658869678081,1658869680734,1658869684620,1658869692096,1658869695397,1658869699085,1658869701229,1658869703575,1658869706795,1658869709597,1658869711994,1658869715183,1658869718303,1658869721197,1658869723589,1658869725960,1658869728780,1658869731252,1658869735095,1658869740207,1658869743899,1658869746607,1658869749155,1658869754070,1658869756869,1658869760453,1658869763862,1658869768199,1658869771008,1658869773766,1658869776644,1658869778928,1658869782696,1658869786613,1658869789288,1658869791993,1658869795956,1658869799022,1658869803399,1658869806178,1658869808855,1658869812799,1658869817827,1658869821215,1658869824588,1658869829878,1658869833443,1658869836196,1658869839984,1658869842712,1658869845524,1658869848225,1658869852474,1658869855459,1658869858118,1658869861680,1658869864413,1658869867114,1658869869968,1658869872857,1658869876802,1658869880312,1658869884392,1658869887097,1658869889991,1658869893104,1658869898218,1658869902442,1658869906166,1658869909442,1658869913178
0,0,43,26,46,16,47,0,0,0,0,48,0,9,0,21,10,50,28,0,32,0,0,0,30,37,0,0,0,25,0,12,0,0,42,44,0,8,19,0,36,0,6,1,0,7,39,20,0,0,17,0,0,0,0,0,0,0,0,33,0,34,29,23,15,0,0,2,38,0,0,31,0,18,13,0,0,35,41,3,0,0,0,0,0,40,49,5,0,0,11,24,27,4,22,0,0,0,45,14
-1,-1,1658869554165,1658869502922,1658869563186,1658869472785,1658869566197,-1,-1,-1,-1,1658869569235,-1,1658869451738,-1,1658869487863,1658869454745,1658869575262,1658869508934,-1,1658869520971,-1,-1,-1,1658869514951,1658869536077,-1,-1,-1,1658869499919,-1,1658869460754,-1,-1,1658869551148,1658869557173,-1,1658869448728,1658869481860,-1,1658869533043,-1,1658869442700,1658869427664,-1,1658869445716,1658869542107,1658869484862,-1,-1,1658869475789,-1,-1,-1,-1,-1,-1,-1,-1,1658869523974,-1,1658869526976,1658869511935,1658869493899,1658869469777,-1,-1,1658869430654,1658869539081,-1,-1,1658869517967,-1,1658869478842,1658869463762,-1,-1,1658869530028,1658869548138,1658869433666,-1,-1,-1,-1,-1,1658869545122,1658869572244,1658869439687,-1,-1,1658869457752,1658869496916,1658869505924,1658869436671,1658869490888,-1,-1,-1,1658869560182,1658869466770
0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1
SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld
0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,1,1
