A1K4FKVCBTX1RN
FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL
Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658873160405,1658873167134,1658873194850,1658873207147,1658873218926,1658873222722,1658873231523,1658873238215,1658873243922,1658873248398,1658873251167,1658873255090,1658873258462,1658873264820,1658873267169,1658873269619,1658873271929,1658873274258,1658873276038,1658873278524,1658873283999,1658873287068,1658873292251,1658873294963,1658873298074,1658873304709,1658873307540,1658873309789,1658873314614,1658873316834,1658873318904,1658873320526,1658873322166,1658873325465,1658873331124,1658873333203,1658873335204,1658873339303,1658873343324,1658873348316,1658873351146,1658873353550,1658873355126,1658873359447,1658873363991,1658873368509,1658873370032,1658873371998,1658873373398,1658873376126,1658873379437,1658873380920,1658873382475,1658873386695,1658873389074,1658873390961,1658873396048,1658873401323,1658873407930,1658873409741,1658873412935,1658873417194,1658873418180,1658873418926,1658873421611,1658873425736,1658873427981,1658873432085,1658873435598,1658873439438,1658873444661,1658873446989,1658873453321,1658873455928,1658873459896,1658873464027,1658873468155,1658873470024,1658873472184,1658873474031,1658873475444,1658873477172,1658873478842,1658873483054,1658873488353,1658873489147,1658873490641,1658873492233,1658873493454,1658873498144,1658873498761,1658873499881,1658873502443,1658873504931,1658873506571,1658873510947,1658873515064,1658873516182,1658873517366,1658873519022
48,0,0,49,0,0,7,0,0,33,12,0,22,0,0,19,11,9,0,1,18,38,0,0,39,0,47,0,0,0,10,50,0,42,32,0,5,6,40,0,0,27,0,0,0,37,0,21,0,0,28,15,0,0,0,43,44,0,14,0,0,36,24,0,16,0,34,25,0,35,0,26,0,41,45,0,8,0,0,29,0,0,17,0,13,4,3,20,0,0,23,0,0,31,30,46,0,0,0,2
1658873133733,-1,-1,1658873136743,-1,-1,1658873010390,-1,-1,1658873088572,1658873025415,-1,1658873055489,-1,-1,1658873046481,1658873022410,1658873016398,-1,1658872992355,1658873043479,1658873103642,-1,-1,1658873106650,-1,1658873130732,-1,-1,-1,1658873019402,1658873139751,-1,1658873115665,1658873085557,-1,1658873004387,1658873007389,1658873109651,-1,-1,1658873070523,-1,-1,-1,1658873100632,-1,1658873052486,-1,-1,1658873073528,1658873034451,-1,-1,-1,1658873118678,1658873121692,-1,1658873031438,-1,-1,1658873097616,1658873061519,-1,1658873037458,-1,1658873091592,1658873064521,-1,1658873094611,-1,1658873067522,-1,1658873112658,1658873124700,-1,1658873013392,-1,-1,1658873076541,-1,-1,1658873040459,-1,1658873028424,1658873001385,1658872998381,1658873049485,-1,-1,1658873058499,-1,-1,1658873082556,1658873079554,1658873127714,-1,-1,-1,1658872995370
1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1
SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew
0,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
