A1M24593XO5Z3C
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658875377578,1658875382092,1658875394710,1658875397211,1658875399791,1658875402811,1658875407093,1658875410356,1658875413581,1658875418049,1658875420800,1658875423502,1658875426471,1658875436770,1658875438670,1658875440510,1658875443776,1658875447960,1658875451717,1658875456839,1658875458501,1658875460263,1658875461752,1658875464243,1658875468709,1658875470751,1658875472194,1658875474568,1658875476141,1658875477841,1658875479626,1658875481111,1658875483682,1658875485631,1658875487529,1658875491023,1658875493819,1658875496331,1658875501151,1658875503571,1658875507674,1658875509701,1658875513332,1658875516011,1658875523393,1658875529078,1658875530872,1658875535711,1658875539842,1658875542888,1658875544331,1658875547118,1658875551910,1658875553964,1658875558929,1658875561550,1658875562921,1658875568434,1658875571946,1658875576610,1658875581934,1658875584351,1658875586381,1658875590765,1658875592112,1658875593411,1658875597241,1658875601490,1658875604693,1658875607639,1658875611267,1658875613749,1658875617521,1658875622710,1658875626991,1658875628630,1658875630331,1658875632101,1658875633360,1658875637333,1658875641953,1658875645359,1658875648211,1658875651991,1658875654259,1658875655890,1658875657255,1658875659719,1658875661089,1658875664548,1658875669810,1658875672149,1658875673649,1658875676449,1658875678189,1658875681609,1658875685553,1658875688948,1658875692550,1658875699448
0,0,0,0,0,7,0,0,42,0,0,0,22,23,0,34,0,9,0,0,49,48,0,32,0,15,0,46,5,0,2,0,0,0,17,0,0,10,0,35,0,36,0,18,14,0,0,0,0,28,0,30,25,0,0,11,0,21,0,38,0,0,26,1,45,0,29,16,0,13,0,33,0,0,50,8,0,37,44,20,43,0,6,0,24,3,0,47,0,0,0,39,0,12,40,19,31,4,27,41
-1,-1,-1,-1,-1,1658875234708,-1,-1,1658875340131,-1,-1,-1,1658875279881,1658875282890,-1,1658875316021,-1,1658875240727,-1,-1,1658875361194,1658875358187,-1,1658875310001,-1,1658875258785,-1,1658875352155,1658875228705,-1,1658875219665,-1,-1,-1,1658875264814,-1,-1,1658875243731,-1,1658875319031,-1,1658875322051,-1,1658875267820,1658875255765,-1,-1,-1,-1,1658875297941,-1,1658875303972,1658875288913,-1,-1,1658875246734,-1,1658875276872,-1,1658875328091,-1,-1,1658875291921,1658875216657,1658875349151,-1,1658875300958,1658875261805,-1,1658875252755,-1,1658875313011,-1,-1,1658875364201,1658875237725,-1,1658875325070,1658875346147,1658875273851,1658875343142,-1,1658875231707,-1,1658875285891,1658875222685,-1,1658875355171,-1,-1,-1,1658875331096,-1,1658875249745,1658875334102,1658875270828,1658875306981,1658875225692,1658875294934,1658875337112
0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1
SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew
1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,1,0
