A21Q7FCKM86VL8
FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL
Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869162582,1658869180050,1658869185427,1658869188296,1658869197993,1658869201455,1658869203379,1658869205094,1658869206847,1658869208791,1658869210645,1658869219385,1658869227922,1658869229969,1658869231934,1658869233369,1658869239152,1658869247578,1658869253954,1658869260920,1658869263151,1658869264587,1658869266285,1658869267705,1658869272132,1658869273857,1658869278892,1658869280725,1658869282368,1658869283833,1658869288596,1658869293414,1658869299753,1658869306380,1658869308267,1658869312651,1658869317254,1658869319539,1658869324203,1658869326188,1658869327668,1658869329194,1658869334317,1658869336251,1658869341327,1658869343047,1658869345015,1658869346837,1658869351368,1658869355797,1658869357467,1658869359006,1658869360535,1658869362081,1658869366991,1658869372252,1658869377827,1658869379838,1658869384784,1658869387204,1658869388638,1658869393884,1658869395950,1658869400364,1658869402508,1658869407343,1658869412332,1658869415301,1658869421015,1658869422914,1658869424282,1658869425789,1658869430680,1658869435105,1658869440429,1658869442595,1658869447381,1658869452088,1658869455027,1658869456463,1658869460821,1658869466154,1658869472669,1658869474635,1658869476151,1658869480768,1658869482745,1658869487214,1658869491607,1658869493625,1658869495310,1658869496858,1658869498417,1658869499777,1658869503214,1658869505021,1658869509057,1658869512904,1658869515178,1658869518945
31,0,0,5,0,0,0,0,0,0,30,18,0,0,0,33,3,36,21,0,0,0,0,45,0,23,0,0,0,1,16,6,4,0,46,8,0,38,0,0,0,17,0,14,0,24,0,13,25,0,0,0,0,29,20,47,26,48,0,0,10,37,41,0,44,22,0,19,0,0,0,34,49,42,0,35,9,0,0,39,15,32,0,0,7,0,50,12,0,0,0,0,0,11,28,2,43,0,27,40
1658869076737,-1,-1,1658868998531,-1,-1,-1,-1,-1,-1,1658869073721,1658869037620,-1,-1,-1,1658869082767,1658868992516,1658869091792,1658869046647,-1,-1,-1,-1,1658869118868,-1,1658869052663,-1,-1,-1,1658868986499,1658869031596,1658869001533,1658868995531,-1,1658869121879,1658869007545,-1,1658869097813,-1,-1,-1,1658869034606,-1,1658869025582,-1,1658869055676,-1,1658869022573,1658869058687,-1,-1,-1,-1,1658869070719,1658869043638,1658869124884,1658869061689,1658869127897,-1,-1,1658869013550,1658869094805,1658869106838,-1,1658869115854,1658869049654,-1,1658869040629,-1,-1,-1,1658869085776,1658869130908,1658869109840,-1,1658869088780,1658869010550,-1,-1,1658869100822,1658869028594,1658869079752,-1,-1,1658869004535,-1,1658869133916,1658869019567,-1,-1,-1,-1,-1,1658869016564,1658869067708,1658868989501,1658869112841,-1,1658869064692,1658869103833
1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1
SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
