A26LOVXF4QZZCO
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658874289154,1658874292958,1658874297851,1658874300016,1658874302758,1658874306930,1658874310858,1658874314219,1658874316453,1658874319921,1658874323653,1658874325778,1658874327969,1658874329818,1658874333843,1658874335847,1658874337875,1658874342049,1658874344179,1658874345962,1658874351160,1658874354635,1658874358212,1658874360952,1658874362907,1658874366489,1658874369715,1658874373263,1658874376911,1658874380786,1658874382944,1658874385039,1658874387105,1658874390830,1658874394942,1658874399051,1658874402822,1658874406313,1658874411636,1658874413771,1658874417206,1658874419252,1658874421065,1658874423033,1658874429087,1658874433707,1658874438824,1658874442306,1658874444234,1658874448037,1658874452327,1658874454242,1658874457987,1658874459929,1658874464604,1658874467876,1658874469989,1658874471742,1658874473679,1658874475512,1658874481032,1658874485425,1658874487725,1658874489537,1658874493290,1658874497656,1658874501236,1658874506455,1658874509994,1658874512940,1658874515328,1658874519495,1658874521476,1658874523884,1658874527016,1658874529134,1658874530942,1658874533202,1658874535403,1658874537283,1658874538961,1658874543085,1658874546745,1658874550092,1658874552154,1658874554163,1658874555892,1658874559612,1658874561513,1658874563141,1658874564858,1658874566372,1658874569753,1658874573624,1658874575523,1658874578088,1658874579728,1658874581233,1658874585087,1658874588525
0,32,10,0,23,0,44,0,0,21,0,0,0,26,0,0,13,0,0,4,31,38,19,0,9,12,17,7,42,0,11,0,30,41,3,6,18,1,0,49,0,0,0,14,43,8,16,0,0,39,0,5,0,35,36,0,0,0,0,24,0,0,0,34,40,45,15,48,0,33,0,0,0,20,0,28,0,0,0,0,50,29,2,0,0,0,37,0,0,0,0,22,47,0,0,0,0,27,46,25
-1,1658874228039,1658874161748,-1,1658874200948,-1,1658874264204,-1,-1,1658874194917,-1,-1,-1,1658874209972,-1,-1,1658874170808,-1,-1,1658874143698,1658874225028,1658874246108,1658874188902,-1,1658874158744,1658874167787,1658874182862,1658874152728,1658874258169,-1,1658874164768,-1,1658874222023,1658874255147,1658874140689,1658874149717,1658874185883,1658874134660,-1,1658874279280,-1,-1,-1,1658874173821,1658874261188,1658874155734,1658874179856,-1,-1,1658874249123,-1,1658874146707,-1,1658874237078,1658874240093,-1,-1,-1,-1,1658874203957,-1,-1,-1,1658874234068,1658874252128,1658874267207,1658874176838,1658874276268,-1,1658874231060,-1,-1,-1,1658874191908,-1,1658874215998,-1,-1,-1,-1,1658874282289,1658874219007,1658874137669,-1,-1,-1,1658874243100,-1,-1,-1,-1,1658874197928,1658874273249,-1,-1,-1,-1,1658874212978,1658874270229,1658874206968
0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1
SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld
1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
