A28AXX4NCWPH1F
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869328265,1658869330959,1658869335417,1658869337109,1658869339014,1658869340502,1658869341974,1658869346661,1658869351772,1658869353697,1658869355074,1658869359136,1658869364780,1658869371370,1658869373095,1658869374499,1658869377987,1658869381941,1658869383677,1658869387909,1658869389428,1658869393858,1658869395621,1658869396885,1658869400683,1658869402590,1658869407132,1658869411008,1658869412558,1658869417116,1658869421038,1658869422945,1658869424123,1658869429162,1658869430681,1658869432727,1658869434169,1658869435564,1658869437146,1658869441106,1658869442897,1658869444540,1658869448633,1658869452788,1658869454568,1658869458944,1658869463594,1658869465288,1658869469423,1658869474213,1658869478523,1658869483550,1658869487576,1658869489251,1658869490475,1658869491700,1658869493142,1658869494506,1658869495855,1658869497204,1658869501095,1658869502831,1658869504071,1658869505265,1658869506691,1658869507963,1658869509249,1658869510489,1658869511931,1658869516164,1658869517760,1658869519155,1658869520380,1658869521728,1658869525264,1658869529526,1658869531190,1658869532348,1658869533572,1658869537696,1658869542115,1658869543686,1658869544982,1658869546548,1658869547913,1658869551866,1658869553524,1658869554796,1658869558919,1658869564976,1658869566361,1658869567663,1658869569105,1658869572841,1658869574624,1658869576252,1658869579771,1658869581802,1658869586050,1658869587739
0,15,0,0,2,0,1,0,0,0,49,17,41,0,0,23,35,31,9,0,4,30,0,44,42,0,7,0,20,5,0,24,22,0,0,0,0,0,43,0,0,34,16,0,39,27,46,45,38,48,26,0,0,33,0,0,0,0,0,3,6,0,0,0,0,0,0,0,12,0,0,36,0,14,13,32,50,37,10,0,0,47,0,0,29,0,19,11,18,21,0,25,40,0,0,28,0,8,0,0
-1,1658869208433,-1,-1,1658869169335,-1,1658869166320,-1,-1,-1,1658869310689,1658869214448,1658869286629,-1,-1,1658869232493,1658869268584,1658869256554,1658869190388,-1,1658869175350,1658869253546,-1,1658869295652,1658869289637,-1,1658869184373,-1,1658869223471,1658869178358,-1,1658869235501,1658869229486,-1,-1,-1,-1,-1,1658869292644,-1,-1,1658869265576,1658869211441,-1,1658869280614,1658869244523,1658869301667,1658869298659,1658869277606,1658869307682,1658869241516,-1,-1,1658869262569,-1,-1,-1,-1,-1,1658869172343,1658869181365,-1,-1,-1,-1,-1,-1,-1,1658869199411,-1,-1,1658869271591,-1,1658869205426,1658869202418,1658869259561,1658869313697,1658869274599,1658869193396,-1,-1,1658869304674,-1,-1,1658869250539,-1,1658869220463,1658869196403,1658869217456,1658869226478,-1,1658869238508,1658869283621,-1,-1,1658869247531,-1,1658869187380,-1,-1
0,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0
SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew
1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1
