A2PTABUVOUYAH5
FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL
FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658871965924,1658872093395,1658872099702,1658872190860,1658872214425,1658872216868,1658872221539,1658872249828,1658872268683,1658872295269,1658872317282,1658872350134,1658872378733,1658872411957,1658872415315,1658872443401,1658872479787,1658872507193,1658872509824,1658872534080,1658872552498,1658872570994,1658872606915,1658872638355,1658872661198,1658872664913,1658872693447,1658872695829,1658872698167,1658872782936,1658872785235,1658872806970,1658872812674,1658872831276,1658872833454,1658872835552,1658872884752,1658872909280,1658872911595,1658872913884,1658872946932,1658872947682,1658872979099,1658872982636,1658872997880,1658873013962,1658873046976,1658873083696,1658873115241,1658873118222,1658873120052,1658873135986,1658873152356,1658873179592,1658873182763,1658873242067,1658873245843,1658873248647,1658873250928,1658873272665,1658873303848,1658873306142,1658873324245,1658873337904,1658873366266,1658873378233,1658873396203,1658873425557,1658873427757,1658873430073,1658873434490,1658873460094,1658873476614,1658873494972,1658873497368,1658873529059,1658873552000,1658873571297,1658873573574,1658873575629,1658873578304,1658873580354,1658873601548,1658873603812,1658873605785,1658873630838,1658873632842,1658873671170,1658873685509,1658873717728,1658873727043,1658873751200,1658873801451,1658873803800,1658873845120,1658873847289,1658873872422,1658873899398,1658873901497,1658873929878
20,0,46,0,1,0,11,28,33,9,0,0,0,0,0,48,0,0,30,44,18,45,26,38,0,0,0,0,50,0,35,0,34,0,0,40,17,0,12,0,6,29,0,42,32,0,0,8,0,0,24,41,22,0,14,0,0,0,27,0,0,13,21,0,7,25,0,0,0,3,0,36,23,0,10,39,19,0,0,0,0,31,0,43,0,47,2,15,0,4,0,37,0,49,0,16,0,0,5,0
1658871862073,-1,1658871940301,-1,1658871804873,-1,1658871834971,1658871886148,1658871901189,1658871828942,-1,-1,-1,-1,-1,1658871946325,-1,-1,1658871892160,1658871934284,1658871856055,1658871937291,1658871880132,1658871916242,-1,-1,-1,-1,1658871952355,-1,1658871907219,-1,1658871904203,-1,-1,1658871922252,1658871853041,-1,1658871837988,-1,1658871819907,1658871889154,-1,1658871928266,1658871898175,-1,-1,1658871825932,-1,-1,1658871874121,1658871925261,1658871868097,-1,1658871844008,-1,-1,-1,1658871883143,-1,-1,1658871841001,1658871865083,-1,1658871822919,1658871877122,-1,-1,-1,1658871810883,-1,1658871910226,1658871871113,-1,1658871831960,1658871919248,1658871859058,-1,-1,-1,-1,1658871895170,-1,1658871931282,-1,1658871943315,1658871807880,1658871847019,-1,1658871813894,-1,1658871913227,-1,1658871949340,-1,1658871850026,-1,-1,1658871816904,-1
1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0
SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew
1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
