A2WBGRTWOXDE6M
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658872085192,1658872088742,1658872090340,1658872096033,1658872099421,1658872101774,1658872105853,1658872107735,1658872109900,1658872111506,1658872114802,1658872118586,1658872120083,1658872124250,1658872129559,1658872132936,1658872136650,1658872141045,1658872142647,1658872144703,1658872146026,1658872147455,1658872148795,1658872153948,1658872155641,1658872159800,1658872163493,1658872165099,1658872167003,1658872171245,1658872172701,1658872177051,1658872178383,1658872179915,1658872184753,1658872186528,1658872189292,1658872192543,1658872194625,1658872198293,1658872200065,1658872204742,1658872209312,1658872214711,1658872216195,1658872217620,1658872219363,1658872220804,1658872224706,1658872229018,1658872233339,1658872234835,1658872236323,1658872237894,1658872239219,1658872243506,1658872245276,1658872249518,1658872250848,1658872252192,1658872253963,1658872257600,1658872261068,1658872264716,1658872269958,1658872271340,1658872272609,1658872274093,1658872275669,1658872277151,1658872278691,1658872280161,1658872284110,1658872285508,1658872289074,1658872292822,1658872294643,1658872295998,1658872300669,1658872302043,1658872303405,1658872306667,1658872310228,1658872312095,1658872313627,1658872318190,1658872322386,1658872323724,1658872325174,1658872330294,1658872334156,1658872335598,1658872336786,1658872338369,1658872340043,1658872343440,1658872344983,1658872348703,1658872350561,1658872352627
0,47,0,50,7,16,4,0,0,49,33,0,15,0,10,0,14,0,0,0,0,0,0,0,0,0,23,0,24,0,0,41,44,12,9,5,0,0,21,0,1,46,0,0,0,0,0,36,31,40,0,43,0,0,39,0,11,8,42,0,29,18,27,0,0,0,0,0,26,0,37,32,0,13,28,0,0,0,0,45,35,2,3,0,30,25,0,20,17,0,0,22,0,0,19,48,6,34,0,38
-1,1658872070079,-1,1658872079100,1658871949808,1658871976863,1658871940779,-1,-1,1658872076093,1658872027982,-1,1658871973854,-1,1658871958826,-1,1658871970848,-1,-1,-1,-1,-1,-1,-1,-1,-1,1658871997895,-1,1658872000896,-1,-1,1658872052031,1658872061052,1658871964839,1658871955813,1658871943794,-1,-1,1658871991890,-1,1658871931743,1658872067068,-1,-1,-1,-1,-1,1658872036985,1658872021957,1658872049020,-1,1658872058047,-1,-1,1658872046016,-1,1658871961837,1658871952809,1658872055033,-1,1658872015937,1658871982873,1658872009920,-1,-1,-1,-1,-1,1658872006914,-1,1658872039993,1658872024973,-1,1658871967840,1658872012927,-1,-1,-1,-1,1658872064054,1658872033983,1658871934757,1658871937764,-1,1658872018947,1658872003912,-1,1658871988888,1658871979868,-1,-1,1658871994893,-1,-1,1658871985880,1658872073083,1658871946801,1658872030982,-1,1658872043006
0,1,0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1
SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew
1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0
