A38OPVI04AH4JG
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869259096,1658869264868,1658869266944,1658869268379,1658869272063,1658869274182,1658869275518,1658869279013,1658869282616,1658869284362,1658869287857,1658869291324,1658869293279,1658869296744,1658869300554,1658869302532,1658869304830,1658869308558,1658869310500,1658869313519,1658869316956,1658869318703,1658869322049,1658869325154,1658869328360,1658869332090,1658869335517,1658869339172,1658869341675,1658869343292,1658869346766,1658869353921,1658869357064,1658869358587,1658869360494,1658869361920,1658869365421,1658869367101,1658869368374,1658869369790,1658869371138,1658869372734,1658869374194,1658869375680,1658869377373,1658869379079,1658869382697,1658869384462,1658869387925,1658869391224,1658869392974,1658869396387,1658869399789,1658869403867,1658869405906,1658869407602,1658869408850,1658869412515,1658869415468,1658869419471,1658869422907,1658869426355,1658869428286,1658869431542,1658869433604,1658869435322,1658869438764,1658869441974,1658869445240,1658869448772,1658869452004,1658869453877,1658869455281,1658869456568,1658869459783,1658869463400,1658869465246,1658869468525,1658869472261,1658869474062,1658869475560,1658869477013,1658869480523,1658869482754,1658869484252,1658869487420,1658869489215,1658869492430,1658869496653,1658869499711,1658869502957,1658869507203,1658869511394,1658869514725,1658869516877,1658869520242,1658869521818,1658869525478,1658869527736,1658869531214
1,0,0,22,0,0,2,29,0,21,6,0,0,27,0,0,35,0,19,46,4,0,0,34,0,8,39,0,0,44,15,32,0,0,0,7,0,0,0,0,0,0,0,0,0,30,0,0,31,0,37,49,25,16,0,11,0,26,0,12,33,38,13,42,0,50,9,0,36,20,0,0,10,48,5,0,28,23,0,0,0,17,0,0,18,41,14,0,3,43,0,0,24,0,0,45,47,0,40,0
1658869104705,-1,-1,1658869167834,-1,-1,1658869107706,1658869188914,-1,1658869164820,1658869119735,-1,-1,1658869182892,-1,-1,1658869206997,-1,1658869158804,1658869240066,1658869113726,-1,-1,1658869203982,-1,1658869125750,1658869219022,-1,-1,1658869234049,1658869146787,1658869197956,-1,-1,-1,1658869122747,-1,-1,-1,-1,-1,-1,-1,-1,-1,1658869191931,-1,-1,1658869194942,-1,1658869213007,1658869249081,1658869176874,1658869149790,-1,1658869134763,-1,1658869179878,-1,1658869137766,1658869200971,1658869216013,1658869140769,1658869228042,-1,1658869252086,1658869128755,-1,1658869210004,1658869161815,-1,-1,1658869131757,1658869246071,1658869116729,-1,1658869185905,1658869170846,-1,-1,-1,1658869152794,-1,-1,1658869155796,1658869225032,1658869143772,-1,1658869110717,1658869231048,-1,-1,1658869173861,-1,-1,1658869237052,1658869243068,-1,1658869222025,-1
1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,1,0
SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1
