A3C3Q963MQDPGT
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658873154332,1658873156602,1658873159388,1658873161321,1658873162969,1658873164426,1658873167328,1658873170011,1658873173250,1658873176212,1658873178642,1658873179969,1658873181304,1658873184227,1658873185767,1658873187068,1658873189855,1658873192617,1658873195848,1658873198399,1658873201467,1658873203188,1658873204706,1658873206896,1658873209291,1658873211740,1658873213416,1658873215814,1658873219114,1658873221242,1658873223053,1658873225904,1658873228548,1658873230955,1658873232450,1658873235351,1658873237908,1658873239197,1658873241723,1658873243996,1658873245610,1658873247641,1658873250144,1658873251652,1658873252952,1658873255643,1658873256973,1658873259725,1658873262681,1658873264154,1658873265724,1658873268102,1658873270747,1658873273181,1658873275683,1658873278580,1658873280166,1658873281766,1658873284592,1658873286280,1658873287978,1658873289420,1658873292773,1658873294485,1658873296881,1658873298357,1658873300256,1658873303264,1658873306244,1658873307646,1658873309244,1658873310550,1658873313344,1658873314754,1658873318186,1658873323474,1658873325048,1658873326645,1658873328688,1658873331408,1658873335171,1658873339138,1658873344475,1658873346125,1658873347278,1658873349943,1658873351554,1658873352891,1658873354337,1658873358660,1658873361571,1658873363246,1658873364698,1658873368205,1658873371630,1658873374023,1658873376254,1658873376882,1658873379877,1658873382935
20,28,1,0,13,0,42,5,49,40,0,0,21,0,16,0,33,30,0,10,0,0,18,22,23,0,0,0,0,0,14,6,48,0,26,50,0,19,15,32,17,0,0,44,0,0,36,37,0,0,0,0,0,0,27,0,0,0,0,0,0,12,11,0,0,0,0,0,34,0,45,7,0,0,0,0,38,0,46,0,8,24,25,29,2,41,47,0,39,43,9,0,0,3,31,0,35,4,0,0
1658873024016,1658873048074,1658872966883,-1,1658873002988,-1,1658873090201,1658872978916,1658873111246,1658873084187,-1,-1,1658873027021,-1,1658873011999,-1,1658873063129,1658873054100,-1,1658872993947,-1,-1,1658873018005,1658873030029,1658873033038,-1,-1,-1,-1,-1,1658873005996,1658872981931,1658873108245,-1,1658873042059,1658873114249,-1,1658873021012,1658873008998,1658873060119,1658873015001,-1,-1,1658873096214,-1,-1,1658873072149,1658873075161,-1,-1,-1,-1,-1,-1,1658873045068,-1,-1,-1,-1,-1,-1,1658872999977,1658872996961,-1,-1,-1,-1,-1,1658873066132,-1,1658873099223,1658872984934,-1,-1,-1,-1,1658873078172,-1,1658873102233,-1,1658872987937,1658873036050,1658873039055,1658873051088,1658872969883,1658873087191,1658873105242,-1,1658873081176,1658873093206,1658872990943,-1,-1,1658872972894,1658873057106,-1,1658873069140,1658872975909,-1,-1
1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,0
SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld
0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,0
