A3MNL6RIME0845
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658874113243,1658874120177,1658874123513,1658874125532,1658874126952,1658874130254,1658874133044,1658874135769,1658874137314,1658874138640,1658874139949,1658874142372,1658874143857,1658874145323,1658874146883,1658874150013,1658874154221,1658874157171,1658874160405,1658874162076,1658874168275,1658874171372,1658874177047,1658874179840,1658874184776,1658874186312,1658874189845,1658874194490,1658874199220,1658874201051,1658874204617,1658874207543,1658874210554,1658874212432,1658874214335,1658874215901,1658874217635,1658874221810,1658874223715,1658874226821,1658874228871,1658874230340,1658874232011,1658874238911,1658874240706,1658874242162,1658874244678,1658874246436,1658874252234,1658874256046,1658874259329,1658874264288,1658874265968,1658874267716,1658874269340,1658874270919,1658874273105,1658874275777,1658874281190,1658874282842,1658874284227,1658874285796,1658874287248,1658874290547,1658874292597,1658874294153,1658874295633,1658874297034,1658874302963,1658874306217,1658874307689,1658874308996,1658874313422,1658874316357,1658874320008,1658874323285,1658874327284,1658874330717,1658874332471,1658874333683,1658874338608,1658874340133,1658874341573,1658874343009,1658874344445,1658874348263,1658874351142,1658874355064,1658874358052,1658874362156,1658874363927,1658874365406,1658874368995,1658874373208,1658874374603,1658874375993,1658874383353,1658874386172,1658874391616,1658874393507
8,21,0,0,19,47,15,0,0,0,0,0,0,0,26,36,25,17,0,27,18,50,12,0,0,44,48,35,0,28,2,43,0,29,0,0,39,0,14,32,0,0,40,0,0,16,0,30,33,42,49,0,9,0,23,22,6,5,0,0,0,10,41,0,0,4,0,0,0,0,0,7,0,20,31,11,38,0,0,0,0,0,0,0,1,0,24,13,37,0,0,34,0,0,0,46,45,3,0,0
1658873979807,1658874018929,-1,-1,1658874012913,1658874097153,1658874000880,-1,-1,-1,-1,-1,-1,-1,1658874033982,1658874064067,1658874030971,1658874006889,-1,1658874036987,1658874009899,1658874106183,1658873991851,-1,-1,1658874088126,1658874100157,1658874061054,-1,1658874039996,1658873961781,1658874085115,-1,1658874043010,-1,-1,1658874073086,-1,1658873997867,1658874052037,-1,-1,1658874076093,-1,-1,1658874003887,-1,1658874046015,1658874055038,1658874082113,1658874103171,-1,1658873982814,-1,1658874024949,1658874021938,1658873973801,1658873970789,-1,-1,-1,1658873985826,1658874079104,-1,-1,1658873967782,-1,-1,-1,-1,-1,1658873976805,-1,1658874015921,1658874049029,1658873988839,1658874070085,-1,-1,-1,-1,-1,-1,-1,1658873958780,-1,1658874027964,1658873994856,1658874067082,-1,-1,1658874058048,-1,-1,-1,1658874094150,1658874091138,1658873964781,-1,-1
1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0
SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
