A5P12YJP805RG
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869326482,1658869331423,1658869333060,1658869336452,1658869338056,1658869341246,1658869344673,1658869346226,1658869349079,1658869352422,1658869355809,1658869358632,1658869361961,1658869365496,1658869368893,1658869370559,1658869372000,1658869373429,1658869375045,1658869377875,1658869380726,1658869382328,1658869383723,1658869385076,1658869387904,1658869389576,1658869392578,1658869394022,1658869397442,1658869399090,1658869400535,1658869401930,1658869403314,1658869406318,1658869408377,1658869409790,1658869412963,1658869414547,1658869416350,1658869417761,1658869419333,1658869420807,1658869422238,1658869423765,1658869425146,1658869426732,1658869430651,1658869432465,1658869435431,1658869437003,1658869438367,1658869439877,1658869441297,1658869442789,1658869445873,1658869447520,1658869449032,1658869450523,1658869452463,1658869453997,1658869457315,1658869461235,1658869465219,1658869466710,1658869470023,1658869471974,1658869473371,1658869474769,1658869477788,1658869480131,1658869481663,1658869483123,1658869484732,1658869487910,1658869489884,1658869492963,1658869494647,1658869496121,1658869499062,1658869501752,1658869503605,1658869507234,1658869508790,1658869510327,1658869511652,1658869513081,1658869514774,1658869516356,1658869518018,1658869519480,1658869520927,1658869522556,1658869524127,1658869528236,1658869529826,1658869531165,1658869534107,1658869535522,1658869538699,1658869540208
16,0,15,0,33,4,0,17,36,50,48,41,46,1,0,0,28,0,25,18,0,0,0,35,0,39,6,31,0,0,0,0,44,13,0,9,0,0,0,29,0,0,0,19,49,38,0,2,0,0,0,0,11,45,26,0,0,27,0,40,5,37,0,47,0,7,0,32,10,0,0,22,20,12,30,0,0,43,8,0,21,0,0,24,0,42,0,0,0,0,0,0,14,0,3,23,0,34,0,0
1658869215576,-1,1658869212567,-1,1658869266732,1658869179429,-1,1658869218585,1658869275769,1658869317856,1658869311838,1658869290800,1658869305829,1658869170404,-1,-1,1658869251684,-1,1658869242657,1658869221594,-1,-1,-1,1658869272756,-1,1658869284792,1658869185456,1658869260720,-1,-1,-1,-1,1658869299814,1658869206544,-1,1658869194490,-1,-1,-1,1658869254696,-1,-1,-1,1658869224598,1658869314853,1658869281777,-1,1658869173414,-1,-1,-1,-1,1658869200516,1658869302827,1658869245658,-1,-1,1658869248674,-1,1658869287795,1658869182441,1658869278775,-1,1658869308837,-1,1658869188468,-1,1658869263729,1658869197501,-1,-1,1658869233631,1658869227609,1658869203531,1658869257708,-1,-1,1658869296813,1658869191476,-1,1658869230622,-1,-1,1658869239642,-1,1658869293809,-1,-1,-1,-1,-1,-1,1658869209560,-1,1658869176427,1658869236633,-1,1658869269747,-1,-1
1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0
SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
