A8B4WA1QFNUAW
FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL
FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction,FullInstruction
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658878104338,1658878110696,1658878125995,1658878135240,1658878137648,1658878140743,1658878147433,1658878152234,1658878159707,1658878174617,1658878181873,1658878187703,1658878193876,1658878195855,1658878203024,1658878207802,1658878209888,1658878211439,1658878216123,1658878229373,1658878238952,1658878244519,1658878286872,1658878293520,1658878299861,1658878301911,1658878309945,1658878311643,1658878317142,1658878319065,1658878328688,1658878330355,1658878338908,1658878344697,1658878346556,1658878353197,1658878356423,1658878359415,1658878361077,1658878364603,1658878369051,1658878373337,1658878375295,1658878379511,1658878383747,1658878386298,1658878394109,1658878398356,1658878405797,1658878412371,1658878414646,1658878416558,1658878423067,1658878429681,1658878431732,1658878437722,1658878445205,1658878447679,1658878453649,1658878455531,1658878457014,1658878458476,1658878460227,1658878461776,1658878463208,1658878470407,1658878472963,1658878496154,1658878498216,1658878499857,1658878505133,1658878507116,1658878508979,1658878510550,1658878512233,1658878513785,1658878515177,1658878525035,1658878529189,1658878530498,1658878532001,1658878533394,1658878534633,1658878536032,1658878537618,1658878539855,1658878544845,1658878547043,1658878548899,1658878556028,1658878557927,1658878559632,1658878570214,1658878571762,1658878573312,1658878578300,1658878580004,1658878581460,1658878583091,1658878584457
0,0,0,0,0,48,0,35,15,34,39,16,0,49,0,0,0,36,13,42,47,0,17,44,0,4,0,31,0,9,0,50,20,29,27,25,0,19,7,0,0,0,28,0,0,1,24,5,41,0,40,0,14,0,11,32,0,45,0,43,8,0,0,22,0,2,0,0,0,23,0,0,0,0,12,18,26,0,0,0,0,3,0,38,0,46,37,0,0,10,0,6,0,21,30,0,33,0,0,0
-1,-1,-1,-1,-1,1658878083748,-1,1658878044736,1658877984721,1658878041735,1658878056739,1658877987722,-1,1658878086748,-1,-1,-1,1658878047737,1658877978720,1658878065743,1658878080747,-1,1658877990722,1658878071745,-1,1658877951708,-1,1658878032733,-1,1658877966717,-1,1658878089749,1658877999724,1658878026730,1658878020729,1658878014728,-1,1658877996724,1658877960710,-1,-1,-1,1658878023730,-1,-1,1658877942706,1658878011727,1658877954709,1658878062742,-1,1658878059742,-1,1658877981720,-1,1658877972719,1658878035734,-1,1658878074746,-1,1658878068744,1658877963716,-1,-1,1658878005725,-1,1658877945707,-1,-1,-1,1658878008726,-1,-1,-1,-1,1658877975719,1658877993723,1658878017728,-1,-1,-1,-1,1658877948708,-1,1658878053738,-1,1658878077746,1658878050738,-1,-1,1658877969718,-1,1658877957709,-1,1658878002725,1658878029732,-1,1658878038734,-1,-1,-1
0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0
SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1
