AERGHZBQFT309
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869294572,1658869297131,1658869300749,1658869305847,1658869307899,1658869312507,1658869314516,1658869316394,1658869321483,1658869323359,1658869328538,1658869330752,1658869335900,1658869341476,1658869346384,1658869348666,1658869354786,1658869359163,1658869361940,1658869368064,1658869372885,1658869375295,1658869377307,1658869378936,1658869381502,1658869383199,1658869388245,1658869393075,1658869395174,1658869396684,1658869398550,1658869400460,1658869404804,1658869407932,1658869409574,1658869411320,1658869417018,1658869420547,1658869425680,1658869431303,1658869435596,1658869438381,1658869443109,1658869445207,1658869447210,1658869451761,1658869454155,1658869458926,1658869464080,1658869466115,1658869468071,1658869470109,1658869475352,1658869477336,1658869479731,1658869485049,1658869487054,1658869492153,1658869497079,1658869502410,1658869506905,1658869514742,1658869516903,1658869521863,1658869525091,1658869529553,1658869533774,1658869538951,1658869541174,1658869546238,1658869551364,1658869556417,1658869562112,1658869566164,1658869568430,1658869570325,1658869574355,1658869576497,1658869581187,1658869583700,1658869585432,1658869587203,1658869588896,1658869590635,1658869594507,1658869596500,1658869598787,1658869600512,1658869606194,1658869608323,1658869613384,1658869618037,1658869623261,1658869625752,1658869630518,1658869632736,1658869636909,1658869641388,1658869643530,1658869648556
0,45,0,0,26,0,0,6,0,0,0,14,43,19,0,23,9,0,30,24,0,0,0,0,0,4,37,0,47,0,0,5,0,0,0,27,0,31,33,50,0,34,0,0,7,0,48,32,0,42,0,35,0,0,39,21,10,0,2,0,0,1,29,0,36,11,46,0,20,40,0,16,12,0,0,28,0,15,0,0,0,0,0,0,13,0,0,3,0,22,44,17,25,41,0,49,38,0,18,8
-1,1658869267637,-1,-1,1658869210499,-1,-1,1658869150325,-1,-1,-1,1658869174384,1658869261627,1658869189415,-1,1658869201452,1658869159348,-1,1658869222520,1658869204475,-1,-1,-1,-1,-1,1658869144306,1658869243569,-1,1658869273653,-1,-1,1658869147311,-1,-1,-1,1658869213513,-1,1658869225524,1658869231527,1658869282683,-1,1658869234543,-1,-1,1658869153328,-1,1658869276656,1658869228525,-1,1658869258620,-1,1658869237553,-1,-1,1658869249594,1658869195437,1658869162351,-1,1658869138287,-1,-1,1658869135277,1658869219518,-1,1658869240559,1658869165352,1658869270651,-1,1658869192422,1658869252608,-1,1658869180399,1658869168369,-1,-1,1658869216514,-1,1658869177385,-1,-1,-1,-1,-1,-1,1658869171379,-1,-1,1658869141292,-1,1658869198447,1658869264634,1658869183413,1658869207484,1658869255616,-1,1658869279668,1658869246580,-1,1658869186414,1658869156336
0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,1
SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld
1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
