ASCS0QEE54PUI
SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2,Round2
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658869358888,1658869367032,1658869370307,1658869371969,1658869373778,1658869375330,1658869378831,1658869380736,1658869384022,1658869387865,1658869391084,1658869392705,1658869394712,1658869397963,1658869399596,1658869403649,1658869406847,1658869408519,1658869412132,1658869413726,1658869415285,1658869417792,1658869419411,1658869422936,1658869427615,1658869431010,1658869434376,1658869436751,1658869438534,1658869441968,1658869443768,1658869446401,1658869448113,1658869451360,1658869452984,1658869456756,1658869460502,1658869462429,1658869464289,1658869466018,1658869467673,1658869469117,1658869470885,1658869472594,1658869474063,1658869475481,1658869476963,1658869478205,1658869481946,1658869483216,1658869486308,1658869487571,1658869489932,1658869492863,1658869494510,1658869496022,1658869497731,1658869501937,1658869505360,1658869511660,1658869515423,1658869518974,1658869525175,1658869531514,1658869533149,1658869537430,1658869538939,1658869542224,1658869543976,1658869546862,1658869552380,1658869553788,1658869556559,1658869559835,1658869561290,1658869562579,1658869566138,1658869569443,1658869572471,1658869574020,1658869575466,1658869579477,1658869582846,1658869586307,1658869589262,1658869591277,1658869594942,1658869596828,1658869599219,1658869609282,1658869617586,1658869619090,1658869623858,1658869628877,1658869630434,1658869632441,1658869635786,1658869645424,1658869648955,1658869652356
22,28,0,0,35,32,50,13,0,49,0,0,0,0,5,15,0,11,0,38,0,25,0,0,0,26,0,0,33,0,0,0,16,0,21,3,47,0,0,0,0,0,0,0,0,0,36,18,23,0,41,12,40,0,0,0,1,27,0,0,44,29,0,0,8,10,0,48,0,14,37,0,9,46,17,0,42,6,0,20,19,0,2,24,0,4,43,0,34,0,0,0,31,0,0,7,45,39,0,30
1658869211763,1658869229821,-1,-1,1658869250894,1658869241870,1658869296058,1658869184657,-1,1658869293050,-1,-1,-1,-1,1658869160558,1658869190690,-1,1658869178641,-1,1658869259920,-1,1658869220795,-1,-1,-1,1658869223805,-1,-1,1658869244878,-1,-1,-1,1658869193706,-1,1658869208758,1658869154525,1658869287027,-1,-1,-1,-1,-1,-1,-1,-1,-1,1658869253904,1658869199724,1658869214781,-1,1658869268953,1658869181649,1658869265938,-1,-1,-1,1658869148508,1658869226814,-1,-1,1658869277989,1658869232829,-1,-1,1658869169591,1658869175625,-1,1658869290035,-1,1658869187673,1658869256906,-1,1658869172606,1658869284021,1658869196715,-1,1658869271970,1658869163575,-1,1658869205745,1658869202739,-1,1658869151517,1658869217788,-1,1658869157541,1658869274986,-1,1658869247889,-1,-1,-1,1658869238854,-1,-1,1658869166582,1658869281005,1658869262926,-1,1658869235838
1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,1
SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew
1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0
