AU849EHZNGV2Z
FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL
Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658873089721,1658873097073,1658873101262,1658873110341,1658873117642,1658873119641,1658873121490,1658873123495,1658873125077,1658873126735,1658873128486,1658873133554,1658873139884,1658873146602,1658873148601,1658873150208,1658873152411,1658873156540,1658873158450,1658873160094,1658873161772,1658873167417,1658873173410,1658873178313,1658873181951,1658873186377,1658873188677,1658873193498,1658873195401,1658873199520,1658873202029,1658873203533,1658873204987,1658873209332,1658873211226,1658873212797,1658873214381,1658873215981,1658873217989,1658873221577,1658873226637,1658873229309,1658873232916,1658873234777,1658873238410,1658873242287,1658873244314,1658873246242,1658873247976,1658873249684,1658873251156,1658873253545,1658873255128,1658873258878,1658873260296,1658873261941,1658873265865,1658873267843,1658873269701,1658873271332,1658873272995,1658873276765,1658873280412,1658873282416,1658873285917,1658873287500,1658873288964,1658873290313,1658873291978,1658873294349,1658873296266,1658873300007,1658873303837,1658873305568,1658873306952,1658873308466,1658873311757,1658873313417,1658873317794,1658873319586,1658873322850,1658873324254,1658873325676,1658873327129,1658873328538,1658873330039,1658873331694,1658873335086,1658873337224,1658873343246,1658873345928,1658873851051,1658873852989,1658873855115,1658873857298,1658873894211,1658873895984,1658873899969,1658873903829,1658873905676
0,0,27,33,0,0,0,0,0,0,22,6,21,0,0,0,48,0,0,0,46,4,18,15,20,2,42,0,50,29,0,0,34,0,12,0,0,0,26,38,13,10,47,5,16,0,0,0,0,0,8,28,36,17,0,23,0,0,0,0,43,49,0,44,41,0,0,0,0,25,35,40,14,3,0,7,0,45,0,37,0,1,0,39,0,0,9,0,19,0,24,0,0,11,0,0,30,32,31,0
-1,-1,1658873006070,1658873024108,-1,-1,-1,-1,-1,-1,1658872991014,1658872942883,1658872987998,-1,-1,-1,1658873069242,-1,-1,-1,1658873063216,1658872936866,1658872978980,1658872969961,1658872984991,1658872930852,1658873051188,-1,1658873075263,1658873012083,-1,-1,1658873027122,-1,1658872960927,-1,-1,-1,1658873003054,1658873039154,1658872963942,1658872954913,1658873066232,1658872939879,1658872972968,-1,-1,-1,-1,-1,1658872948899,1658873009077,1658873033138,1658872975977,-1,1658872994027,-1,-1,-1,-1,1658873054192,1658873072257,-1,1658873057205,1658873048184,-1,-1,-1,-1,1658873000047,1658873030135,1658873045168,1658872966945,1658872933854,-1,1658872945889,-1,1658873060212,-1,1658873036148,-1,1658872927850,-1,1658873042159,-1,-1,1658872951900,-1,1658872981985,-1,1658872997035,-1,-1,1658872957919,-1,-1,1658873015088,1658873021098,1658873018091,-1
0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0
SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
