AWTGJ45ZWUCHH
FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL
Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial,Spatial
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658877079641,1658877083685,1658877085574,1658877087450,1658877097579,1658877101455,1658877105501,1658877107709,1658877109296,1658877110893,1658877112684,1658877116142,1658877123920,1658877126712,1658877128358,1658877133067,1658877134557,1658877135805,1658877137273,1658877141261,1658877145675,1658877147152,1658877150998,1658877154626,1658877158713,1658877160198,1658877163492,1658877165055,1658877169002,1658877172110,1658877173659,1658877175076,1658877176486,1658877177935,1658877179275,1658877182628,1658877186352,1658877189441,1658877191201,1658877194406,1658877197413,1658877200576,1658877203621,1658877205309,1658877208801,1658877210171,1658877211394,1658877215826,1658877217301,1658877218828,1658877223207,1658877225343,1658877226792,1658877229023,1658877230508,1658877233965,1658877235158,1658877236383,1658877237872,1658877239224,1658877240772,1658877245442,1658877246809,1658877247982,1658877249215,1658877252733,1658877254257,1658877255553,1658877256959,1658877261705,1658877264935,1658877268707,1658877270507,1658877271950,1658877275659,1658877279137,1658877280517,1658877281693,1658877282860,1658877284054,1658877285249,1658877286419,1658877288292,1658877289681,1658877291073,1658877292358,1658877293698,1658877296901,1658877299946,1658877300694,1658877304420,1658877305887,1658877307089,1658877310955,1658877315003,1658877318558,1658877322360,1658877324306,1658877327561,1658877328125
0,0,0,8,28,34,0,0,0,0,43,29,0,0,37,0,0,0,1,10,0,30,9,49,0,47,0,23,44,0,0,0,0,0,46,22,24,2,12,40,11,48,0,16,0,0,33,0,17,3,0,6,0,0,25,0,5,0,0,0,38,0,0,0,26,15,0,0,36,21,7,0,0,35,14,0,0,0,0,0,18,0,0,39,0,0,4,13,50,31,0,27,42,0,45,20,0,32,41,19
-1,-1,-1,1658876946374,1658877006530,1658877024591,-1,-1,-1,-1,1658877051682,1658877009545,-1,-1,1658877033626,-1,-1,-1,1658876925308,1658876952391,-1,1658877012560,1658876949382,1658877069732,-1,1658877063714,-1,1658876991489,1658877054684,-1,-1,-1,-1,-1,1658877060699,1658876988475,1658876994497,1658876928313,1658876958400,1658877042654,1658876955397,1658877066720,-1,1658876970421,-1,-1,1658877021580,-1,1658876973428,1658876931326,-1,1658876940354,-1,-1,1658876997504,-1,1658876937346,-1,-1,-1,1658877036628,-1,-1,-1,1658877000518,1658876967411,-1,-1,1658877030621,1658876985474,1658876943360,-1,-1,1658877027606,1658876964408,-1,-1,-1,-1,-1,1658876976439,-1,-1,1658877039641,-1,-1,1658876934339,1658876961405,1658877072738,1658877015565,-1,1658877003522,1658877048673,-1,1658877057689,1658876982468,-1,1658877018571,1658877045667,1658876979456
0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1
SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0
