AXPZAP62ZYWP8
FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL,FIRSTROUNDFULL
Temporal,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658873626233,1658873645207,1658873647692,1658873657877,1658873659859,1658873661657,1658873668023,1658873672572,1658873679355,1658873684541,1658873692573,1658873694206,1658873695677,1658873697026,1658873701571,1658873705295,1658873708970,1658873710586,1658873714352,1658873718263,1658873722013,1658873723628,1658873727942,1658873729544,1658873731224,1658873732735,1658873734376,1658873738069,1658873741711,1658873748770,1658873756839,1658873763910,1658873766637,1658873768185,1658873773584,1658873775063,1658873778604,1658873782287,1658873786059,1658873787488,1658873791116,1658873792682,1658873796898,1658873798772,1658873800042,1658873801264,1658873802472,1658873806033,1658873807637,1658873809401,1658873810623,1658873811839,1658873815604,1658873818580,1658873821622,1658873825651,1658873827161,1658873828693,1658873829916,1658873833885,1658873837743,1658873839142,1658873843254,1658873844624,1658873848032,1658873851048,1658873853131,1658873857325,1658873860799,1658873862003,1658873863198,1658873864364,1658873865557,1658873869385,1658873873512,1658873875047,1658873876599,1658873877742,1658873879050,1658873880443,1658873884180,1658873886485,1658873887741,1658873889086,1658873893755,1658873895403,1658873896458,1658873901454,1658873902865,1658873907676,1658873911870,1658873915379,1658873919737,1658873923715,1658873925583,1658873927431,1658873928653,1658873933741,1658873935363,1658873936405
48,0,37,0,0,25,0,36,50,10,0,0,43,18,8,14,0,19,39,38,0,24,0,0,0,0,31,23,5,0,44,9,0,0,0,27,45,29,0,4,0,0,0,0,0,0,1,0,0,0,0,26,41,49,11,0,0,0,13,17,0,32,22,12,6,0,2,0,0,15,0,0,42,7,0,0,0,16,0,21,0,30,0,40,0,0,46,0,20,28,3,34,35,0,0,0,47,0,33,0
1658873578045,-1,1658873544936,-1,-1,1658873508829,-1,1658873541930,1658873584052,1658873463697,-1,-1,1658873563004,1658873487766,1658873457688,1658873475742,-1,1658873490770,1658873550956,1658873547949,-1,1658873505819,-1,-1,-1,-1,1658873526883,1658873502812,1658873448669,-1,1658873566014,1658873460696,-1,-1,-1,1658873514846,1658873569017,1658873520869,-1,1658873445659,-1,-1,-1,-1,-1,-1,1658873436634,-1,-1,-1,-1,1658873511840,1658873556980,1658873581049,1658873466708,-1,-1,-1,1658873472728,1658873484762,-1,1658873529888,1658873499797,1658873469717,1658873451673,-1,1658873439644,-1,-1,1658873478750,-1,-1,1658873559989,1658873454676,-1,-1,-1,1658873481758,-1,1658873496787,-1,1658873523880,-1,1658873553967,-1,-1,1658873572019,-1,1658873493783,1658873517862,1658873442645,1658873535907,1658873538920,-1,-1,-1,1658873575031,-1,1658873532897,-1
1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0
SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
