round,blockName,Setsize,cueLength,test_ind,test_timeStamp,view_ind,view_timeStamp,1=OldItem,Response,1=correct,viewLoc_index,viewLoc_x,viewLoc_y,viewLoc_row,viewLoc_col,clickLoc_x,clickLoc_y,clickLoc_row,clickLoc_column,Euclidian_distance,imageTypeQuiz,TimeBarLoc_1st,TimeBarLoc_resp,TimeError_RespMinus1stAppear,RT,LapseTimeSinceExpStart,imageID,CanvasHeight,CanvasWidth,curID,curTime,userAgent,windowWidth,windowHeight,screenWidth,screenHeight,duration_ms,d_mTurkID
FIRSTROUNDFULL,Test,50,3000,1,1.65844E+12,0,-1,0,SaidNew,1,35,731.2933333,72.96,1,6,-1,-1,-1,-1,-1,[,-1,-1,-1,18949,166377,25,987,987,1.65844E+12,21/07/2022@14,Mozilla/5.0(WindowsNT10.0;Win64;x64)AppleWebKit/537.36(KHTMLlikeGecko)Chrome/103.0.0.0Safari/537.36,1881,1197,2560,1440,457864,A1ODA3Q5H6HTDQ
FIRSTROUNDFULL,Test,50,3000,3,1.65844E+12,40,1.65844E+12,1,SaidOld,1,32,598.4666667,561.2666667,5,5,347.78125,685.375,6,3,279.7249659,[,80,52.99489693,-27.00510307,32894,182495,59,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,2,1.65844E+12,27,1.65844E+12,1,SaidOld,1,41,719.2933333,822.92,7,6,621.78125,676.375,6,5,176.0228491,[,54,61.32149353,7.321493533,24594,178001,50,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,4,1.65844E+12,0,-1,0,SaidNew,1,32,598.4666667,561.2666667,5,5,-1,-1,-1,-1,-1,[,-1,-1,-1,37241,184669,15,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,5,1.65844E+12,32,1.65844E+12,1,SaidOld,1,10,222.9866667,432.44,4,2,249.78125,459.375,4,2,37.99268247,[,64,49.84210792,-14.15789208,39855,188166,77,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,7,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,44752,192179,42,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,6,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,43137,190564,66,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,8,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,46429,193856,4,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,9,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,48547,195974,76,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,10,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,50502,197929,3,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,11,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,51964,199391,23,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,12,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,53809,201236,93,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,13,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,55282,202710,22,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,14,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,57352,204779,69,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,15,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,58787,206214,55,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,16,1.65844E+12,23,1.65844E+12,1,SaidOld,1,8,217.9866667,200.7866667,2,2,267.78125,321.375,3,2,130.4647334,[,46,39.65617421,-6.343825788,61002,210923,64,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,17,1.65844E+12,0,-1,0,SaidNew,1,8,217.9866667,200.7866667,2,2,-1,-1,-1,-1,-1,[,-1,-1,-1,65510,212937,18,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,18,1.65844E+12,5,1.65844E+12,1,SaidOld,1,12,219.9866667,691.0933333,6,2,601.78125,560.375,5,5,403.5522104,[,10,26.23661075,16.23661075,68794,217263,31,987,987,,,,,,,,,
