SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658442972601,1658442995066,1658442996741,1658442997992,1658442999371,1658443000701,1658443002546,1658443003769,1658443009049,1658443010891,1658443013951,1658443016715,1658443018169,1658443019590,1658443020929,1658443022366,1658443023682,1658443026901,1658443030104,1658443033150,1658443034684,1658443035988,1658443039473,1658443041084,1658443042416,1658443043840,1658443045151,1658443046775,1658443048072,1658443049308,1658443052900,1658443054292,1658443057591,1658443062608,1658443065239,1658443067759,1658443069214,1658443072337,1658443075540,1658443077007,1658443078170,1658443079564,1658443080826,1658443082077,1658443085354,1658443086760,1658443090439,1658443092148,1658443093473,1658443094646,1658443096028,1658443097477,1658443101073,1658443101676,1658443104856,1658443105371,1658443107130,1658443108401,1658443111517,1658443112881,1658443116422,1658443117553,1658443119052,1658443120300,1658443123329,1658443126298,1658443127544,1658443128784,1658443130126,1658443131363,1658443132632,1658443135943,1658443137367,1658443138724,1658443140086,1658443141372,1658443142613,1658443143866,1658443145196,1658443148861,1658443150051,1658443151437,1658443152767,1658443154175,1658443156490,1658443157836,1658443161161,1658443162381,1658443163719,1658443167499,1658443171191,1658443172575,1658443173734,1658443177818,1658443179159,1658443180428,1658443181754,1658443185353,1658443188655,1658443189951
5,0,21,0,0,24,40,15,46,43,0,0,0,23,0,0,12,48,47,0,13,34,0,0,0,0,6,22,0,26,0,10,3,0,0,0,44,18,0,4,16,19,0,50,0,9,0,0,1,0,0,29,0,30,0,0,14,42,0,33,7,0,0,41,37,0,0,0,17,0,38,31,0,0,0,0,27,0,35,25,0,0,28,0,0,49,0,32,11,39,0,8,20,0,0,0,45,36,0,2
1658442803743,-1,1658442851845,-1,-1,1658442860862,1658442908976,1658442833814,1658442927018,1658442918009,-1,-1,-1,1658442857852,-1,-1,1658442824782,1658442933037,1658442930032,-1,1658442827794,1658442890929,-1,-1,-1,-1,1658442806750,1658442854850,-1,1658442866866,-1,1658442818772,1658442797733,-1,-1,-1,1658442921016,1658442842828,-1,1658442800738,1658442836815,1658442845832,-1,1658442939051,-1,1658442815769,-1,-1,1658442791719,-1,-1,1658442875891,-1,1658442878901,-1,-1,1658442830810,1658442914997,-1,1658442887923,1658442809760,-1,-1,1658442911987,1658442899952,-1,-1,-1,1658442839823,-1,1658442902960,1658442881906,-1,-1,-1,-1,1658442869880,-1,1658442893944,1658442863865,-1,-1,1658442872886,-1,-1,1658442936050,-1,1658442884908,1658442821779,1658442905964,-1,1658442812768,1658442848838,-1,-1,-1,1658442924017,1658442896949,-1,1658442794730
1,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0,1
SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew
0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
11,11,17,17,17,19,37,11,10,0,0,0,0,32,32,32,44,23,39,39,14,33,33,33,33,33,40,13,13,43,43,25,36,36,36,36,21,5,5,48,2,43,43,12,12,46,46,46,23,23,23,7,7,5,5,5,17,12,12,1,9,9,9,40,22,22,22,22,5,5,19,37,37,37,37,37,9,9,9,25,25,25,47,47,47,26,26,12,16,14,14,14,32,32,32,32,33,15,15,37
210.38412698412702,210.38412698412702,311.13968253968255,311.13968253968255,311.13968253968255,308.13968253968255,637.4063492063492,210.38412698412702,211.38412698412702,110.62857142857143,110.62857142857143,110.62857142857143,110.62857142857143,534.6507936507937,534.6507936507937,534.6507936507937,761.1619047619048,424.89523809523814,644.4063492063492,644.4063492063492,331.13968253968255,541.6507936507937,541.6507936507937,541.6507936507937,541.6507936507937,541.6507936507937,645.4063492063492,200.38412698412702,200.38412698412702,748.1619047619048,748.1619047619048,424.89523809523814,640.4063492063492,640.4063492063492,640.4063492063492,640.4063492063492,416.89523809523814,101.62857142857143,101.62857142857143,771.1619047619048,83.62857142857143,748.1619047619048,748.1619047619048,191.38412698412702,191.38412698412702,747.1619047619048,747.1619047619048,747.1619047619048,424.89523809523814,424.89523809523814,424.89523809523814,213.38412698412702,213.38412698412702,101.62857142857143,101.62857142857143,101.62857142857143,311.13968253968255,191.38412698412702,191.38412698412702,92.62857142857143,221.38412698412702,221.38412698412702,221.38412698412702,645.4063492063492,425.89523809523814,425.89523809523814,425.89523809523814,425.89523809523814,101.62857142857143,101.62857142857143,308.13968253968255,637.4063492063492,637.4063492063492,637.4063492063492,637.4063492063492,637.4063492063492,221.38412698412702,221.38412698412702,221.38412698412702,424.89523809523814,424.89523809523814,424.89523809523814,773.1619047619048,773.1619047619048,773.1619047619048,413.89523809523814,413.89523809523814,191.38412698412702,320.13968253968255,331.13968253968255,331.13968253968255,331.13968253968255,534.6507936507937,534.6507936507937,534.6507936507937,534.6507936507937,541.6507936507937,302.13968253968255,302.13968253968255,637.4063492063492
