SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658442286289,1658442288906,1658442296012,1658442303888,1658442305481,1658442312490,1658442314313,1658442315828,1658442317462,1658442323246,1658442325056,1658442326616,1658442332168,1658442338350,1658442343514,1658442348211,1658442350369,1658442358487,1658442361044,1658442362789,1658442364893,1658442371652,1658442377535,1658442379191,1658442381040,1658442387789,1658442389522,1658442390930,1658442398022,1658442399911,1658442405256,1658442406762,1658442412499,1658442414227,1658442419130,1658442424076,1658442429859,1658442431620,1658442433240,1658442435019,1658442436891,1658442438763,1658442440731,1658442442774,1658442444481,1658442446425,1658442448164,1658442454298,1658442456045,1658442462631,1658442464670,1658442470423,1658442472071,1658442473612,1658442476395,1658442478018,1658442482402,1658442484228,1658442486338,1658442491504,1658442498273,1658442503494,1658442507990,1658442509824,1658442516421,1658442518442,1658442520303,1658442525807,1658442527607,1658442531572,1658442536780,1658442538474,1658442540426,1658442542358,1658442547116,1658442552837,1658442554506,1658442558442,1658442560221,1658442561853,1658442563512,1658442565143,1658442567045,1658442568883,1658442573505,1658442578457,1658442580107,1658442586684,1658442588307,1658442590087,1658442594042,1658442595997,1658442598418,1658442600199,1658442601931,1658442606113,1658442612337,1658442614385,1658442616041,1658442620937
0,0,14,0,49,0,19,0,34,0,38,36,26,24,41,0,8,0,0,0,30,47,0,0,13,0,44,43,0,15,0,50,0,22,2,6,0,0,0,0,0,0,0,0,0,0,42,0,48,0,29,0,0,1,10,37,0,0,18,23,27,35,0,16,0,0,39,0,32,40,0,46,7,0,11,21,17,0,0,0,0,0,3,25,4,0,12,5,20,31,9,0,0,0,45,28,0,0,33,0
-1,-1,1658442166054,-1,1658442271366,-1,1658442181091,-1,1658442226227,-1,1658442238261,1658442232242,1658442202145,1658442196135,1658442247289,-1,1658442147991,-1,-1,-1,1658442214191,1658442265346,-1,-1,1658442163050,-1,1658442256318,1658442253308,-1,1658442169069,-1,1658442274377,-1,1658442190117,1658442129955,1658442141977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1658442250293,-1,1658442268357,-1,1658442211183,-1,-1,1658442126942,1658442154008,1658442235254,-1,-1,1658442178083,1658442193119,1658442205159,1658442229239,-1,1658442172077,-1,-1,1658442241272,-1,1658442220214,1658442244286,-1,1658442262341,1658442144989,-1,1658442157020,1658442187116,1658442175081,-1,-1,-1,-1,-1,1658442132963,1658442199136,1658442135967,-1,1658442160034,1658442138976,1658442184106,1658442217202,1658442150996,-1,-1,-1,1658442259333,1658442208170,-1,-1,1658442223216,-1
0,0,1,0,1,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,0
SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew
1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
18,18,30,30,44,44,32,32,23,23,47,23,44,19,38,38,5,5,5,5,19,10,10,10,44,44,4,12,12,39,39,18,18,10,7,25,25,25,25,25,25,25,25,25,25,25,17,17,45,45,11,11,11,48,12,31,31,31,42,23,40,44,44,2,2,2,11,11,10,28,28,19,40,40,20,28,6,6,6,6,6,6,43,45,3,3,2,38,34,25,8,8,8,8,15,16,16,16,16,16
326.2209523809524,326.2209523809524,574.447619047619,574.447619047619,774.6742857142856,774.6742857142856,541.447619047619,541.447619047619,437.8342857142857,437.8342857142857,772.6742857142856,437.8342857142857,774.6742857142856,334.2209523809524,680.0609523809522,680.0609523809522,87.9942857142857,87.9942857142857,87.9942857142857,87.9942857142857,334.2209523809524,213.60761904761904,213.60761904761904,213.60761904761904,774.6742857142856,774.6742857142856,108.9942857142857,214.60761904761904,214.60761904761904,686.0609523809522,686.0609523809522,326.2209523809524,326.2209523809524,213.60761904761904,208.60761904761904,430.8342857142857,430.8342857142857,430.8342857142857,430.8342857142857,430.8342857142857,430.8342857142857,430.8342857142857,430.8342857142857,430.8342857142857,430.8342857142857,430.8342857142857,344.2209523809524,344.2209523809524,792.6742857142856,792.6742857142856,222.60761904761904,222.60761904761904,222.60761904761904,786.6742857142856,214.60761904761904,575.447619047619,575.447619047619,575.447619047619,774.6742857142856,437.8342857142857,685.0609523809522,774.6742857142856,774.6742857142856,84.9942857142857,84.9942857142857,84.9942857142857,222.60761904761904,222.60761904761904,213.60761904761904,557.447619047619,557.447619047619,334.2209523809524,685.0609523809522,685.0609523809522,333.2209523809524,557.447619047619,95.9942857142857,95.9942857142857,95.9942857142857,95.9942857142857,95.9942857142857,95.9942857142857,780.6742857142856,792.6742857142856,110.99428571428571,110.99428571428571,84.9942857142857,680.0609523809522,549.447619047619,430.8342857142857,218.60761904761904,218.60761904761904,218.60761904761904,218.60761904761904,328.2209523809524,336.2209523809524,336.2209523809524,336.2209523809524,336.2209523809524,336.2209523809524
