SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND,SECONDROUND
Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test,Test
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,26,25,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1658442769726,1658442772154,1658442777393,1658442781254,1658442784789,1658442788916,1658442794780,1658442798547,1658442800684,1658442805608,1658442807859,1658442809374,1658442815274,1658442819481,1658442822856,1658442825594,1658442829579,1658442834497,1658442839978,1658442842329,1658442844147,1658442846116,1658442850108,1658442854729,1658442862065,1658442859292,1658442863416,1658442864965,1658442868888,1658442873358,1658442875787,1658442877796,1658442882718,1658442884758,1658442890570,1658442894345,1658442899188,1658442901417,1658442903325,1658442908229,1658442914697,1658442919780,1658442923279,1658442927158,1658442930105,1658442932185,1658442933955,1658442935657,1658442939356,1658442942785,1658442945473,1658442947391,1658442948766,1658442950907,1658442952326,1658442955882,1658442960643,1658442962761,1658442966333,1658442968691,1658442970582,1658442973091,1658442974579,1658442978864,1658442980944,1658442984965,1658442988925,1658442995385,1658443000585,1658443005925,1658443007942,1658443011817,1658443016175,1658443021240,1658443025268,1658443027646,1658443029415,1658443031026,1658443035145,1658443039145,1658443041465,1658443043826,1658443045595,1658443050560,1658443052746,1658443054763,1658443056642,1658443057876,1658443059384,1658443061253,1658443065095,1658443069539,1658443072906,1658443077291,1658443082917,1658443087187,1658443090264,1658443092720,1658443094315,1658443095614
30,0,0,0,0,29,0,50,33,0,18,0,0,28,0,44,0,1,0,0,0,8,0,49,34,0,16,37,15,0,0,0,13,20,31,0,0,0,0,0,10,0,32,41,0,0,0,7,45,0,0,9,5,25,0,27,0,6,0,0,40,12,46,0,14,21,19,11,0,2,26,0,0,43,22,0,0,38,47,0,0,0,0,3,0,0,35,0,0,17,0,42,23,24,48,0,36,0,4,39
1658442692322,-1,-1,-1,-1,1658442689319,-1,1658442752481,1658442701341,-1,1658442656207,-1,-1,1658442686313,-1,1658442734413,-1,1658442605036,-1,-1,-1,1658442626113,-1,1658442749474,1658442704345,-1,1658442650193,1658442713358,1658442647180,-1,-1,-1,1658442641163,1658442662224,1658442695324,-1,-1,-1,-1,-1,1658442632129,-1,1658442698333,1658442725383,-1,-1,-1,1658442623103,1658442737425,-1,-1,1658442629123,1658442617087,1658442677280,-1,1658442683304,-1,1658442620089,-1,-1,1658442722374,1658442638160,1658442740443,-1,1658442644174,1658442665230,1658442659220,1658442635143,-1,1658442608065,1658442680283,-1,-1,1658442731393,1658442668240,-1,-1,1658442716361,1658442743451,-1,-1,-1,-1,1658442611067,-1,-1,1658442707347,-1,-1,1658442653203,-1,1658442728386,1658442671264,1658442674270,1658442746460,-1,1658442710353,-1,1658442614087,1658442719363
1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1
SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidOld,SaidNew,SaidNew,SaidNew,SaidNew,SaidNew
0,0,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0
18,18,18,18,18,45,45,2,26,26,32,32,32,25,25,9,9,15,15,15,15,16,16,0,24,0,23,4,39,39,39,39,28,37,35,35,35,35,35,35,31,31,37,30,30,30,30,26,18,18,18,21,6,10,10,40,40,40,40,40,31,28,30,30,15,44,7,29,29,48,47,47,47,18,13,13,13,14,3,3,3,3,3,29,29,29,14,14,14,29,29,28,30,38,44,44,46,46,5,20
247.15873015873018,247.15873015873018,247.15873015873018,247.15873015873018,247.15873015873018,623.047619047619,623.047619047619,92.71428571428572,337.3809523809524,337.3809523809524,438.6031746031746,438.6031746031746,438.6031746031746,359.3809523809524,359.3809523809524,163.93650793650795,163.93650793650795,261.1587301587302,261.1587301587302,261.1587301587302,261.1587301587302,250.15873015873018,250.15873015873018,82.71428571428572,352.3809523809524,82.71428571428572,349.3809523809524,73.71428571428572,542.8253968253969,542.8253968253969,542.8253968253969,542.8253968253969,434.6031746031746,540.8253968253969,539.8253968253969,539.8253968253969,539.8253968253969,539.8253968253969,539.8253968253969,539.8253968253969,427.6031746031746,427.6031746031746,540.8253968253969,431.6031746031746,431.6031746031746,431.6031746031746,431.6031746031746,337.3809523809524,247.15873015873018,247.15873015873018,247.15873015873018,363.3809523809524,67.71428571428572,178.93650793650795,178.93650793650795,524.8253968253969,524.8253968253969,524.8253968253969,524.8253968253969,524.8253968253969,427.6031746031746,434.6031746031746,431.6031746031746,431.6031746031746,261.1587301587302,623.047619047619,174.93650793650795,428.6031746031746,428.6031746031746,611.047619047619,632.047619047619,632.047619047619,632.047619047619,247.15873015873018,173.93650793650795,173.93650793650795,173.93650793650795,267.1587301587302,66.71428571428572,66.71428571428572,66.71428571428572,66.71428571428572,66.71428571428572,428.6031746031746,428.6031746031746,428.6031746031746,267.1587301587302,267.1587301587302,267.1587301587302,428.6031746031746,428.6031746031746,434.6031746031746,431.6031746031746,516.8253968253969,623.047619047619,623.047619047619,628.047619047619,628.047619047619,76.71428571428572,261.1587301587302
